Date,Tmin,Tmax,Tmean,Rainfall
1/1/2015,1.18,18.39,8.1,0
1/2/2015,-1.67,14.22,5.51,0
1/3/2015,7.34,20.98,13.28,0
1/4/2015,8.79,20.56,12.31,19.4
1/5/2015,10.74,21.53,14.45,0
1/6/2015,15.13,22.87,17.98,3.6
1/7/2015,17.01,25.02,19.49,10.4
1/8/2015,16.39,21.32,18.22,0
1/9/2015,16.7,23.95,18.78,3
1/10/2015,12,25.31,17.95,0
1/11/2015,6,21.06,12.76,1.6
1/12/2015,9.01,18.56,12.69,0
1/13/2015,0.11,16.49,6.78,0
1/14/2015,-1.04,15.37,5.82,0
1/15/2015,-0.85,15.63,5.8,0
1/16/2015,-1.13,15.82,5.79,0
1/17/2015,-0.85,16.03,5.69,0
1/18/2015,-1.44,15.75,5.81,0
1/19/2015,-0.42,15.17,6.46,0
1/20/2015,-0.17,15.53,6.59,0
1/21/2015,0.36,16.84,7.39,0
1/22/2015,0.16,15.94,7.04,0
1/23/2015,0.25,15.53,7.26,0
1/24/2015,5.97,14.72,8.75,0
1/25/2015,5.85,15.53,9.56,0
1/26/2015,5.59,16.06,9.56,0
1/27/2015,2.9,16.15,8.73,0
1/28/2015,3.27,15.99,8.79,0
1/29/2015,1.18,15.34,7.62,0
1/30/2015,0.19,14,6.25,0
1/31/2015,-1.61,13.45,4.7,0.2
2/1/2015,1.75,18.53,8.83,0
2/2/2015,-0.2,15.99,6.9,0
2/3/2015,10.34,19.27,13.71,0
2/4/2015,7.17,14.31,10.19,10.4
2/5/2015,11.37,20.25,14.54,0
2/6/2015,14.98,23.98,18.55,0.2
2/7/2015,17.18,25.89,20.24,0.2
2/8/2015,16.72,26.08,19.76,0
2/9/2015,16.49,21.13,17.85,0
2/10/2015,13.09,24.82,18.2,0
2/11/2015,7.79,19.65,12.98,1.6
2/12/2015,7.82,18.27,11.9,0
2/13/2015,2.9,12.1,6.81,0
2/14/2015,-0.17,15.17,7.36,0
2/15/2015,4.84,14.72,7.97,0.4
2/16/2015,1.67,17.96,9.16,0
2/17/2015,2.24,18.46,9.27,0.2
2/18/2015,1.94,16.99,8.21,0.2
2/19/2015,4.45,15.84,8.35,0.4
2/20/2015,1.29,16.87,8.88,0
2/21/2015,6.23,16.22,10.1,0
2/22/2015,3.04,18.75,10.41,0.2
2/23/2015,3.04,20.6,11.03,0
2/24/2015,6.74,20.7,12.86,0.2
2/25/2015,9.9,14.79,11.95,0
2/26/2015,8.34,20.34,13.05,3.4
2/27/2015,6.96,20.32,12.48,0
2/28/2015,6.08,21.01,13.04,0
3/1/2015,3.41,9.85,6.39,6.4
3/2/2015,0.69,17.32,7.82,0
3/3/2015,5.26,19.6,11.33,0
3/4/2015,6.84,21.94,13.5,2.6
3/5/2015,11.86,22.01,15.74,0
3/6/2015,16.44,24.8,19.71,0.6
3/7/2015,17.18,24,19.61,1.2
3/8/2015,16.51,22.82,18.79,0
3/9/2015,16.44,23.26,18.21,0
3/10/2015,14.67,22.3,16.73,0
3/11/2015,10.44,19.77,13.46,2.2
3/12/2015,4.87,11.9,8.67,0.8
3/13/2015,7.29,22.01,14.17,0
3/14/2015,8.99,19.22,13.12,0
3/15/2015,10.17,21.82,15.08,0
3/16/2015,9.44,21.65,14.41,0
3/17/2015,7.12,22.85,13.85,0
3/18/2015,6.96,21.1,13.08,0
3/19/2015,2.61,19.75,11.15,0
3/20/2015,7.44,20.75,13.19,0
3/21/2015,6.03,21.91,13.75,0
3/22/2015,7.32,23.59,14.8,0
3/23/2015,8.12,22.08,13.29,1.6
3/24/2015,5.95,22.03,11.81,0
3/25/2015,5.9,24.36,13.79,0
3/26/2015,6.48,23.54,13.84,0
3/27/2015,6.48,23.18,13.91,0
3/28/2015,10.3,22.01,14.89,0
3/29/2015,12,23.71,16.65,0
3/30/2015,10.32,21.75,15.29,3.4
3/31/2015,8.34,17.27,11.82,12.8
4/1/2015,4.71,13.33,8.32,8
4/2/2015,3.62,17.2,9.38,0
4/3/2015,6.74,18.27,11.05,0
4/4/2015,9.98,20.77,13.76,4
4/5/2015,12.27,22.63,16.74,0
4/6/2015,15.72,25.04,19.41,0.8
4/7/2015,17.32,25.77,19.79,4.6
4/8/2015,16.13,24.77,19.51,0
4/9/2015,16.44,24.8,19.29,0
4/10/2015,13.35,24.99,17.45,0
4/11/2015,10.1,14.46,11.41,8.4
4/12/2015,2.48,16.18,8.55,0
4/13/2015,9.56,15.53,12.27,0
4/14/2015,7.69,22.61,14.86,0.6
4/15/2015,9.39,24.99,15.66,2.8
4/16/2015,9.24,22.94,13.6,6.2
4/17/2015,7.54,22.23,12.83,20.6
4/18/2015,8.62,14.12,10.6,17
4/19/2015,6.76,22.49,14.34,0
4/20/2015,8.79,23.04,15.16,0.2
4/21/2015,11.42,22.44,14.67,7.4
4/22/2015,9.46,15.44,11.59,15.2
4/23/2015,9.73,17.34,12.8,9.4
4/24/2015,8.77,15.84,11.35,0.2
4/25/2015,8.09,14.22,10.64,0
4/26/2015,8.14,20.44,13.2,0
4/27/2015,9.39,21.6,14.2,0
4/28/2015,11.13,21.17,14.3,0
4/29/2015,10.25,14.05,11.5,0
4/30/2015,9.39,21.06,14.09,0
5/1/2015,4.64,15.58,8.91,0.2
5/2/2015,3.35,15.99,8.96,0
5/3/2015,4.82,18.46,10.59,0
5/4/2015,7.84,19.7,13.25,3
5/5/2015,10.71,23.52,15.33,0
5/6/2015,17.03,23.16,19.28,0.6
5/7/2015,18.03,25.99,20.62,0.8
5/8/2015,16.8,23.11,18.49,0
