Date,Tmin,Tmax,Tmean,Rainfall
1/1/2015,2.8,16.3,7.5,0
1/2/2015,-1.87,12.29,4.03,0
1/3/2015,5.26,18.72,11.13,0.2
1/4/2015,NA,NA,NA,0
1/5/2015,9.56,22.82,13.93,9.5
1/6/2015,NA,NA,NA,0
1/7/2015,NA,NA,NA,0
1/8/2015,NA,NA,NA,0
1/9/2015,15.34,23.71,16.74,14.35
1/10/2015,10.71,24.73,16.33,0
1/11/2015,4.66,18.3,10.94,0.2
1/12/2015,7.24,17.53,9.96,0
1/13/2015,0.55,14.36,5.66,0
1/14/2015,-1.19,12.82,4.33,0
1/15/2015,-0.79,12.7,4.39,0
1/16/2015,-0.82,13.28,4.77,0
1/17/2015,-1.5,12.61,4.23,0
1/18/2015,-1.53,11.49,4.07,0
1/19/2015,-1.44,12.85,4.26,0
1/20/2015,-1.84,13.67,4.71,0
1/21/2015,0.5,16.25,6.92,0
1/22/2015,1.4,15.27,6.46,0
1/23/2015,-0.31,12,5.45,0
1/24/2015,4.12,13.23,6.88,0
1/25/2015,0.61,14.22,6.67,0
1/26/2015,0.99,13.45,6.01,0
1/27/2015,0.66,14.67,6.61,0
1/28/2015,0.72,15.72,6.9,0
1/29/2015,-0.37,12.99,5.16,0
1/30/2015,-0.23,11.66,3.92,2.24
1/31/2015,-2.36,11.69,3.33,0
2/1/2015,3.04,14,7.93,0
2/2/2015,-1.16,13.81,5.02,0
2/3/2015,6,12.41,8.34,5.08
2/4/2015,NA,NA,NA,0
2/5/2015,9.85,20.22,13.61,13.41
2/6/2015,NA,NA,NA,0
2/7/2015,NA,NA,NA,0
2/8/2015,NA,NA,NA,0
2/9/2015,14.67,20.46,16.31,2.82
2/10/2015,13.62,21.72,16.23,2.44
2/11/2015,5.95,19.65,11.85,0.61
2/12/2015,6.71,14.46,9.09,1.02
2/13/2015,0.41,12.2,5.03,0
2/14/2015,-1.33,13.52,5.37,0
2/15/2015,3.33,10.42,5.75,0.2
2/16/2015,0.08,16.39,7.18,0.2
2/17/2015,1.26,16.82,7.75,0
2/18/2015,3.25,10.37,5.46,6.91
2/19/2015,1.13,12.2,5.59,1.83
2/20/2015,-0.45,15.41,7.01,0
2/21/2015,2.88,13.35,7.5,0
2/22/2015,0.83,18.79,8.18,0
2/23/2015,1.94,19.79,9.82,0
2/24/2015,3.72,19.25,10.69,0
2/25/2015,8.37,17.53,10.75,0
2/26/2015,6.05,17.25,9.87,1.6
2/27/2015,4.82,18.68,10.62,3.25
