Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,-2.36,24.73,7.09,26.49
2015,2,-1.33,21.72,9,39.57
2015,3,0,23.18,11.74,71.81
2015,4,1.07,24.46,11.45,96.49
2015,5,0.33,26.55,13.58,108.31
2015,6,1.18,24.87,9.92,57.3
2015,7,2.53,24.58,10.53,14.91
2015,8,-0.51,26.21,15.39,226.16
2015,9,-0.79,26.87,14.92,143.43
2015,10,1.51,26.84,12.03,61.24
2015,11,1.1,24.22,9.8,24.46
2015,12,-3.01,25.02,6.57,36.6
2016,1,-2.22,25.7,6.67,71.32
2016,2,0.77,25.99,10.32,34.49
2016,3,0.02,27.04,11.28,121.41
2016,4,-1.56,27.19,13.23,161.82
2016,5,0.16,27.55,13.99,280.37
2016,6,-0.31,28.27,15.75,321.36
2016,7,2.07,27.85,15.87,327.36
2016,8,2.4,28.69,16.4,219.23
2016,9,-1.19,26.89,12.48,35.36
2016,10,-2.51,27.68,12.11,37.13
2016,11,-1.1,27.24,10.12,36.37
2016,12,-1.87,27.33,8.83,7.11
2017,1,-2.98,26.57,8.07,86.74
2017,2,-0.45,26.38,9.55,137.11
2017,3,-0.65,27.09,10.71,138.13
2017,4,-0.87,28.27,13.43,199.49
2017,5,-1.19,26.18,14.88,221.59
2017,6,-1.96,28.12,15.9,315.9
2017,7,-1.99,28.02,16.42,186.16
2017,8,1.56,27.9,16.08,254.89
2017,9,2.21,27.01,15.44,236.8
2017,10,-1.04,25.04,12.47,235.46
2017,11,-0.85,27.48,9.72,77.06
2017,12,-1.41,26.26,8.7,71.15
2018,1,-1.5,26.55,7.77,82.07
2018,2,-1.1,25.33,9.35,103.12
2018,3,-1.16,26.94,10.95,144.96
2018,4,-2.07,27.48,12.21,197.49
2018,5,-0.17,27.63,14.26,219.48
2018,6,-1.33,28.22,15.96,253.9
2018,7,0.74,29.07,16.42,313.28
2018,8,-1.1,28.49,16.23,390.53
2018,9,-2.1,29.07,14.95,149.58
2018,10,-1.93,29.77,11.52,145.11
2018,11,-1.07,28.79,9.3,115.14
2018,12,-3.66,25.82,7.6,162.13
