Date,Tmin,Tmax,Tmean,Rainfall
1/1/2015,-3.301,15.151,4.07,0
1/2/2015,-1.814,15.079,4.48,0
1/3/2015,1.071,10.001,3.91,2.8
1/4/2015,-1.9,6.458,1.38,7.2
1/5/2015,-5.729,10.075,0.51,0
1/6/2015,-4.957,7.544,0.2,0
1/7/2015,-4.167,6.839,0.6,0
1/8/2015,-4.227,6.813,-0.1,0.6
1/9/2015,-6.073,6.331,-0.3,0
1/10/2015,-5.295,10.222,2.28,0
1/11/2015,-4.773,12.751,1.96,0
1/12/2015,-5.202,10.712,1.02,0
1/13/2015,-5.449,11.516,1.3,0
1/14/2015,-5.636,8.916,-0.06,0
1/15/2015,-7.869,10.051,-0.52,0
1/16/2015,-7.155,8.792,-0.34,0
1/17/2015,-6.61,7.419,-0.68,0
1/18/2015,-7.348,8.593,-1.04,0
1/19/2015,-7.155,8.618,-0.92,0
1/20/2015,-7.381,11.005,0.39,0
1/21/2015,-5.449,13.016,2.19,0
1/22/2015,-4.53,15.294,2.65,0
1/23/2015,-4.167,11.71,1.3,0
1/24/2015,-6.738,12.195,0.59,0
1/25/2015,-6.168,13.642,1.25,0
1/26/2015,-5.979,14.29,2.81,0
1/27/2015,-2.683,11.953,3.65,0
1/28/2015,-5.667,11.053,0.8,0
1/29/2015,-6.77,8.02,-0.9,0
1/30/2015,-8.43,7.845,-1.89,0
1/31/2015,-8.497,8.767,-1.66,0
2/1/2015,-8.797,8.841,-1.62,0
2/2/2015,-7.348,9.879,-0.04,0
2/3/2015,-5.357,14.218,1.59,0
2/4/2015,-4.59,8.593,0.77,0
2/5/2015,-4.227,11.273,1.71,0
2/6/2015,-3.836,11.662,2.84,0
2/7/2015,-4.106,14.361,2.84,0
2/8/2015,-6.834,13.233,1.18,0
2/9/2015,-4.046,11.54,2.11,0.2
2/10/2015,-4.987,11.005,1.42,0
2/11/2015,-4.895,12.025,2.25,0
2/12/2015,-4.621,8.916,0.46,0
2/13/2015,-7.608,5.975,-0.72,8.4
2/14/2015,-6.77,10.492,1.12,0
2/15/2015,-1.9,6.357,0.84,0
2/16/2015,-4.046,12.751,2.38,0
2/17/2015,-4.016,11.516,2.13,0.6
2/18/2015,-1.413,7.091,2.01,0.6
2/19/2015,-2.918,7.695,1.66,0
2/20/2015,-4.865,13.906,2.47,0
2/21/2015,-2.508,11.102,3.22,0
2/22/2015,-4.227,16.082,4.25,0
2/23/2015,-3.094,17.439,5.76,0
2/24/2015,-2.683,16.201,5.71,0
2/25/2015,1.371,15.342,7.46,0
2/26/2015,-2.16,16.106,3.61,1.4
2/27/2015,-1.327,12.316,4.47,11.4
2/28/2015,-2.16,13.81,4.79,0
3/1/2015,-0.76,14.481,5.14,2.4
3/2/2015,-0.227,5.514,0.91,20.2
3/3/2015,-0.283,9.238,2.43,1.4
3/4/2015,-4.378,9.287,1.72,1.2
3/5/2015,-6.042,10.149,1.08,0.2
3/6/2015,-2.712,10.883,2.88,0
3/7/2015,-1.1,10.687,3.54,0
3/8/2015,-2.102,15.652,4.77,0
3/9/2015,-2.102,15.605,4.77,0
3/10/2015,-3.687,14.098,4.71,0
3/11/2015,-2.918,16.582,5.17,0
3/12/2015,-0.479,16.249,6.71,0
3/13/2015,0.715,15.294,6.63,0
3/14/2015,0.412,15.605,7.22,0
3/15/2015,0.135,17.629,7.05,0
3/16/2015,0.329,13.594,6.13,0
3/17/2015,-2.218,15.39,5.99,0
3/18/2015,-2.596,14.625,3.65,0.4
3/19/2015,-6.325,11.88,2.26,3.6
3/20/2015,-2.888,15.055,5.54,0.2
3/21/2015,1.48,13.57,6.79,0
3/22/2015,-0.171,17.724,7.61,0
3/23/2015,4.454,12.437,6.57,0
3/24/2015,1.017,14.96,6.68,0
3/25/2015,-0.451,18.152,7.18,0
3/26/2015,-0.004,16.177,7.43,0
3/27/2015,1.913,13.618,7.46,0.2
3/28/2015,2.797,17.439,8.94,0.2
3/29/2015,2.69,17.558,9.45,0
3/30/2015,-0.004,12.871,6.65,7.6
3/31/2015,-0.032,12.534,5.07,13
4/1/2015,3.327,14.242,7.32,0.2
4/2/2015,3.195,10.663,6,0.4
4/3/2015,0.273,17.177,7.65,3.8
4/4/2015,1.071,15.891,8.42,4.2
4/5/2015,-0.255,12.92,5.51,2.8
4/6/2015,-0.676,14.529,6.67,0
4/7/2015,3.854,16.582,8.22,0.2
4/8/2015,1.94,14.242,6.59,9.6
4/9/2015,-0.732,12.992,5.72,0.2
4/10/2015,3.485,13.666,7.62,1.4
4/11/2015,3.958,14.409,8.24,0.2
4/12/2015,1.913,16.01,8.65,5.8
4/13/2015,0.439,6.357,3.94,17.8
4/14/2015,1.615,15.7,8.2,0.2
4/15/2015,2.128,16.272,9.26,0.4
4/16/2015,4.454,15.676,8.34,3
4/17/2015,0.467,12.823,5.81,16.6
4/18/2015,-0.116,8.319,3.71,10.4
4/19/2015,1.208,21.39,9.57,0
4/20/2015,0.797,17.32,9.19,0
4/21/2015,4.869,17.272,10.48,0
4/22/2015,3.221,16.058,8.17,3.2
4/23/2015,1.615,13.978,7.31,4.2
4/24/2015,1.67,14.481,5.63,0
4/25/2015,1.48,8.344,4.99,5.6
4/26/2015,4.141,11.273,6.74,0.2
4/27/2015,4.532,14.768,8.81,0
4/28/2015,5.282,14.792,8.4,1.6
4/29/2015,1.425,10.956,5.69,12
4/30/2015,4.35,14.816,8.34,0.2
5/1/2015,3.512,16.272,9.31,0.8
5/2/2015,4.74,17.106,9.55,8.4
5/3/2015,2.262,16.177,8.97,0.8
5/4/2015,3.932,18.01,10.59,0.2
5/5/2015,2.717,17.938,10.27,1.4
5/6/2015,3.722,15.39,9.4,0.6
5/7/2015,2.69,17.986,8.33,1
5/8/2015,3.195,18.889,10.18,0
5/9/2015,4.298,20.269,10.52,0.2
5/10/2015,4.74,19.341,10.81,0.2
5/11/2015,6.535,16.129,9.93,1.4
5/12/2015,7.619,18.033,11.16,0
5/13/2015,7.444,17.582,11.47,0
5/14/2015,8.369,20.198,13.58,0
5/15/2015,10.001,20.984,12.96,7.2
5/16/2015,7.97,17.748,11.93,2
5/17/2015,6.737,15.605,10.32,4
5/18/2015,5.05,19.532,11.97,0.2
5/19/2015,6.661,19.103,12.97,0.2
5/20/2015,10.075,18.461,13.07,0.6
5/21/2015,9.583,18.295,12.21,4
5/22/2015,8.543,18.343,12.45,2.4
5/23/2015,7.268,17.867,11.62,4.4
5/24/2015,6.23,17.748,11.32,0
5/25/2015,4.168,19.436,11.82,0.2
5/26/2015,6.788,17.272,10.05,3.2
5/27/2015,7.845,15.39,10.5,0.4
5/28/2015,8.419,17.891,12.46,0
5/29/2015,8.693,19.651,13.46,0
5/30/2015,10.443,18.152,13.15,2.6
5/31/2015,9.977,20.269,13.28,13.8
6/1/2015,8.344,20.913,12.9,5.2
6/2/2015,7.041,19.627,13.02,0
6/3/2015,9.583,20.865,14.41,0
6/4/2015,9.41,20.531,13.9,0.6
6/5/2015,9.46,19.175,13.67,0
6/6/2015,10.32,21.485,14.83,0
6/7/2015,11.297,21.39,15.29,1
6/8/2015,10.663,21.27,15.09,1
6/9/2015,9.879,19.389,13.96,2.8
6/10/2015,10.81,20.103,14.01,7.4
6/11/2015,11.807,16.296,13.08,5
6/12/2015,11.175,15.724,12.65,24.2
6/13/2015,10.026,17.415,12.96,1.6
6/14/2015,7.82,17.867,12.04,0.2
6/15/2015,6.357,19.008,11.86,0
6/16/2015,10.124,19.698,14.21,0.4
6/17/2015,10.761,20.46,14.37,0
6/18/2015,10.907,18.889,13.75,1.6
6/19/2015,11.224,18.937,14.39,4.6
6/20/2015,11.734,21.724,15.13,4.8
6/21/2015,10.173,20.46,14.7,5.8
6/22/2015,11.88,19.08,13.86,11.6
6/23/2015,11.321,18.628,13.49,10.8
6/24/2015,11.904,21.294,14.36,8.4
6/25/2015,11.127,18.652,13.96,3.8
6/26/2015,10.59,22.441,15.69,0.2
6/27/2015,12.316,18.913,14.09,16.2
6/28/2015,12.389,17.391,13.62,20.6
6/29/2015,12.05,20.222,15.14,2.6
6/30/2015,11.346,22.106,16,0.2
7/1/2015,10.173,21.509,14.31,13
7/2/2015,8.27,20.46,14.63,3.2
7/3/2015,11.904,20.793,15.53,2.8
7/4/2015,12.944,19.984,15.16,1.2
7/5/2015,12.751,21.008,15.06,0.2
7/6/2015,12.292,19.651,14.66,0.4
7/7/2015,11.419,19.436,13.91,4.4
7/8/2015,11.224,19.127,14.28,6
7/9/2015,10.98,21.819,14.72,9.2
7/10/2015,11.88,16.582,13.59,6.2
7/11/2015,11.516,20.031,14.36,9.2
7/12/2015,12.171,23.954,16.71,0
7/13/2015,13.497,23.593,17.21,0
7/14/2015,13.882,21.294,16,2.4
7/15/2015,12.34,21.223,14.99,16.8
7/16/2015,11.053,20.436,14.39,0.2
7/17/2015,8.519,22.369,14.23,1.8
7/18/2015,8.742,22.417,14.29,3.8
7/19/2015,10.173,19.603,13.49,2.2
7/20/2015,8.99,21.27,13.66,8.4
7/21/2015,11.102,19.508,14.22,1.2
7/22/2015,11.175,21.843,14.48,16.8
7/23/2015,10.418,21.223,13.98,4
7/24/2015,10.271,23.088,14.86,3.8
7/25/2015,8.941,23.978,13.48,8.2
7/26/2015,6.535,23.136,13.39,3.2
7/27/2015,7.368,22.082,13.32,7.2
7/28/2015,7.645,22.441,14.23,2
