Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,-8.797,21.509,3.55,39.4
2015,2,-7.608,21.724,5.4,59.2
2015,3,-6.325,22.417,7.37,42.4
2015,4,-4.59,21.39,7.83,100.4
2015,5,-6.042,21.008,10.55,58.2
2015,6,-4.957,22.441,11.72,116.6
2015,7,-4.167,23.978,11.97,103.2
2015,8,-6.834,22.8,10.85,51.2
2015,9,-6.073,24.267,11.22,77.8
2015,10,-5.295,22.824,7.97,45.8
2015,11,-4.895,20.889,6.78,41.4
2015,12,-9.066,23.954,3.15,31
2016,1,-9.269,22.345,3.1,30
2016,2,-5.511,22.178,6.35,25.6
2016,3,-6.325,24.968,7.2,64.8
2016,4,-6.962,26.402,9.35,60.8
2016,5,-5.357,24.146,10.4,96.4
2016,6,-4.773,23.136,12.6,74
2016,7,-4.016,23.689,12.41,179.8
2016,8,-4.287,26.842,12.79,139.6
2016,9,-6.357,23.593,11.18,141.8
2016,10,-7.543,22.729,8.59,43.8
2016,11,-6.136,22.872,6.89,23.6
2016,12,-6.042,23.978,5.78,80.4
2017,1,-10.301,21.485,4.6,37
2017,2,-5.264,21.843,6.08,33.6
2017,3,-7.706,22.441,6.71,52.4
2017,4,-6.231,26.134,8.77,59.8
2017,5,-5.172,24.291,10.94,88
2017,6,-7.51,24.388,12.4,119.2
2017,7,-5.202,25.453,12.84,120.6
2017,8,-6.199,23.785,12.53,71
2017,9,-6.547,24.339,11.66,79.2
2017,10,-7.771,20.507,8.41,40.6
2017,11,-7.738,22.537,5.84,31.4
2017,12,-7.543,21.963,5.02,67.6
2018,1,-8.033,22.154,3.28,4.4
2018,2,-6.547,21.366,4.38,29.2
2018,3,-6.77,23.088,5.97,31.6
2018,4,-7.869,22.872,7.31,36
2018,5,-6.77,25.234,6.2,3
2018,6,-9.134,25.38,5.99,1.2
2018,7,-9.1,24.098,5.49,10.6
2018,8,-8.53,22.202,8.64,6
2018,9,-8.033,22.992,10.57,31
2018,10,-5.418,18.081,6.26,9.2
2018,11,-5.079,19.389,5.21,3
2018,12,-9.303,18.723,1.81,33
2019,1,-10.686,23.978,2.95,57.8
2019,2,-7.608,25.016,4.75,35
2019,3,-7.251,26.109,6.53,82.2
2019,4,-9.61,24.992,9.06,41.8
2019,5,-8,24.171,10.33,47
2019,6,-7.348,25.186,12.34,104.6
2019,7,-6.199,23.905,12.47,231.6
2019,8,-6.168,26.426,12.81,151
2019,9,-7.575,21.891,10.4,130
2019,10,-9.644,23.785,8.18,63.6
2019,11,-6.802,24.339,7.1,48
2019,12,-8.898,24.847,5.14,42.6
2020,1,-11.469,26.207,3.16,43.8
2020,2,-9.747,26.353,5.3,59.8
2020,3,-9.679,25.453,6.86,48.6
2020,4,-8,27.136,7.87,59.2
2020,5,-10.863,24.484,9.68,145.6
2020,6,-11.361,24.774,11.81,231.8
2020,7,-9.405,26.842,12.3,213.8
2020,8,-10.406,27.505,12.67,196.4
2020,9,-9.713,24.05,11.29,127
2020,10,-9.816,24.581,9.14,99.4
2020,11,-9.439,22.202,5.51,20.8
2020,12,-8.63,22.345,4.71,23.8
