Date,Tmin,Tmax,Tmean,Rainfall
1/4/2015,12.22,21.18,15.49,0
1/5/2015,NA,NA,NA,0
1/6/2015,16.3,25.55,20.14,5.6
1/7/2015,NA,NA,NA,0
1/8/2015,NA,NA,NA,0
1/9/2015,NA,NA,NA,0
1/10/2015,NA,NA,NA,0
1/11/2015,NA,NA,NA,0
1/12/2015,NA,NA,NA,0
1/13/2015,NA,NA,NA,0
1/14/2015,NA,NA,NA,0
1/15/2015,NA,NA,NA,0
1/16/2015,NA,NA,NA,0
1/17/2015,NA,NA,NA,0
1/18/2015,NA,NA,NA,0
1/19/2015,NA,NA,NA,0
1/20/2015,NA,NA,NA,0
1/21/2015,NA,NA,NA,0
1/22/2015,NA,NA,NA,0
1/23/2015,NA,NA,NA,0
1/24/2015,NA,NA,NA,0
1/25/2015,NA,NA,NA,0
1/26/2015,NA,NA,NA,0
1/27/2015,NA,NA,NA,0
1/28/2015,NA,NA,NA,0
1/29/2015,NA,NA,NA,0
1/30/2015,NA,NA,NA,0
1/31/2015,NA,NA,NA,0
2/1/2015,NA,NA,NA,0
2/2/2015,NA,NA,NA,0
2/3/2015,NA,NA,NA,0
2/4/2015,11.18,14.53,12.61,2
2/5/2015,NA,NA,NA,0
2/6/2015,16.8,25.96,20.74,3.2
2/7/2015,NA,NA,NA,0
2/8/2015,NA,NA,NA,0
2/9/2015,NA,NA,NA,0
2/10/2015,NA,NA,NA,0
2/11/2015,NA,NA,NA,0
2/12/2015,NA,NA,NA,0
2/13/2015,NA,NA,NA,0
2/14/2015,NA,NA,NA,0
2/15/2015,NA,NA,NA,0
2/16/2015,NA,NA,NA,0
2/17/2015,NA,NA,NA,0
2/18/2015,NA,NA,NA,0
2/19/2015,NA,NA,NA,0
2/20/2015,NA,NA,NA,0
2/21/2015,NA,NA,NA,0
2/22/2015,NA,NA,NA,0
2/23/2015,NA,NA,NA,0
2/24/2015,NA,NA,NA,0
2/25/2015,NA,NA,NA,0
2/26/2015,NA,NA,NA,0
2/27/2015,NA,NA,NA,0
2/28/2015,NA,NA,NA,0
3/1/2015,NA,NA,NA,0
3/2/2015,NA,NA,NA,0
3/3/2015,NA,NA,NA,0
3/4/2015,10.2,22.75,15.56,0
3/5/2015,NA,NA,NA,0
3/6/2015,18.13,26.35,21.26,0.2
3/7/2015,NA,NA,NA,0
3/8/2015,NA,NA,NA,0
3/9/2015,NA,NA,NA,0
3/10/2015,NA,NA,NA,0
3/11/2015,NA,NA,NA,0
3/12/2015,NA,NA,NA,0
3/13/2015,NA,NA,NA,0
3/14/2015,NA,NA,NA,0
3/15/2015,NA,NA,NA,0
3/16/2015,NA,NA,NA,0
3/17/2015,NA,NA,NA,0
3/18/2015,NA,NA,NA,0
3/19/2015,NA,NA,NA,0
3/20/2015,NA,NA,NA,0
3/21/2015,NA,NA,NA,0
3/22/2015,NA,NA,NA,0
3/23/2015,NA,NA,NA,0
3/24/2015,NA,NA,NA,0
3/25/2015,NA,NA,NA,0
3/26/2015,NA,NA,NA,0
3/27/2015,15.34,21.41,17.26,0
3/28/2015,12.61,22.35,16.38,0.4
3/29/2015,13.62,24.7,18.02,0
3/30/2015,13.86,22.78,17.44,0.8
3/31/2015,11.22,21.92,14.84,22.8
4/1/2015,NA,NA,NA,0
4/2/2015,NA,NA,NA,0
4/3/2015,NA,NA,NA,0
4/4/2015,11.71,23.67,16.31,11.6
4/5/2015,NA,NA,NA,0
4/6/2015,18.2,26.55,21.49,0
4/7/2015,NA,NA,NA,0
4/8/2015,NA,NA,NA,0
4/9/2015,NA,NA,NA,0
4/10/2015,NA,NA,NA,0
4/11/2015,NA,NA,NA,0
4/12/2015,NA,NA,NA,0
4/13/2015,12.85,17.84,15.15,0.4
4/14/2015,12.07,25.26,17.83,0
4/15/2015,13.79,26.11,19.49,0
4/16/2015,14.58,26.5,18.78,0.4
4/17/2015,11.81,25.72,17.53,10.8
4/18/2015,10.57,18.72,12.54,23.2
4/19/2015,10.35,22.85,16.1,0
4/20/2015,12.85,14.98,13.91,0
4/21/2015,NA,NA,NA,0
4/22/2015,NA,NA,NA,0
4/23/2015,NA,NA,NA,0
4/24/2015,NA,NA,NA,0
4/25/2015,NA,NA,NA,0
4/26/2015,NA,NA,NA,0
4/27/2015,NA,NA,NA,0
4/28/2015,NA,NA,NA,0
4/29/2015,NA,NA,NA,0
4/30/2015,NA,NA,NA,0
5/1/2015,NA,NA,NA,0
5/2/2015,NA,NA,NA,0
5/3/2015,NA,NA,NA,0
5/4/2015,10.3,21.8,15.29,4.2
5/5/2015,NA,NA,NA,0
5/6/2015,18.63,25.94,20.98,0
5/7/2015,NA,NA,NA,0
5/8/2015,NA,NA,NA,0
5/9/2015,NA,NA,NA,0
5/10/2015,NA,NA,NA,0
5/11/2015,NA,NA,NA,0
5/12/2015,NA,NA,NA,0
5/13/2015,15.61,25.53,19.27,0
5/14/2015,16.73,25.38,19.9,0
5/15/2015,17.34,23.14,19.2,0
5/16/2015,16.18,25.21,19.66,4.6
5/17/2015,16.01,24.36,19.09,7.2
5/18/2015,15.72,24.87,19.35,5.8
5/19/2015,16.08,25.48,20.14,0.6
5/20/2015,17.61,27.75,21.59,0
5/21/2015,18.08,27.58,21.46,0
5/22/2015,17.53,26.52,20.38,0
5/23/2015,16.08,23.3,18.21,4.6
5/24/2015,15.34,24.36,18.92,5.8
5/25/2015,15.7,25.19,19.11,10.8
5/26/2015,15.72,20.72,17.91,9.2
5/27/2015,14.98,24.2,18.19,2
5/28/2015,15.39,24.24,18.77,0
5/29/2015,16.49,25.65,20.38,0
5/30/2015,17.61,20.63,18.62,10.4
5/31/2015,17.13,19.01,17.86,9
6/1/2015,NA,NA,NA,0
6/2/2015,NA,NA,NA,0
6/3/2015,NA,NA,NA,0
6/4/2015,8.92,22.13,15.01,11.6
6/5/2015,NA,NA,NA,0
6/6/2015,18.15,24.39,20.03,14.6
6/7/2015,NA,NA,NA,0
6/8/2015,NA,NA,NA,0
6/9/2015,NA,NA,NA,0
6/10/2015,NA,NA,NA,0
6/11/2015,NA,NA,NA,0
6/12/2015,NA,NA,NA,0
6/13/2015,16.73,25.19,19.36,23.2
6/14/2015,16.56,25.23,19.83,17.8
6/15/2015,17.46,23.57,20.01,0
6/16/2015,16.87,26.99,21.09,2.8
6/17/2015,17.7,26.57,21.31,0
6/18/2015,18.15,27.7,21.68,1.8
6/19/2015,17.42,28.25,22.13,0
6/20/2015,18.13,28.54,22.79,0.2
6/21/2015,18.58,26.65,21.63,4.4
6/22/2015,18.32,25.33,20.7,1.6
6/23/2015,18.34,22.54,19.72,13.4
6/24/2015,18.44,27.7,21.41,3.8
6/25/2015,18.56,20.56,19.05,0
6/26/2015,NA,NA,NA,0
6/27/2015,NA,NA,NA,0
6/28/2015,NA,NA,NA,0
6/29/2015,NA,NA,NA,0
6/30/2015,NA,NA,NA,0
7/1/2015,NA,NA,NA,0
7/2/2015,NA,NA,NA,0
7/3/2015,NA,NA,NA,0
7/4/2015,11.93,21.99,15.84,0
7/5/2015,NA,NA,NA,0
7/6/2015,18.56,25.6,20.77,0.4
7/7/2015,NA,NA,NA,0
7/8/2015,NA,NA,NA,0
7/9/2015,NA,NA,NA,0
7/10/2015,NA,NA,NA,0
7/11/2015,NA,NA,NA,0
7/12/2015,NA,NA,NA,0
7/13/2015,NA,NA,NA,0
7/14/2015,NA,NA,NA,0
7/15/2015,19.41,23.55,21.04,3
7/16/2015,18.46,25.6,20.71,53.8
7/17/2015,17.25,29.02,21.4,14.43
7/18/2015,16.8,27.38,20.67,9.53
7/19/2015,17.39,26.09,20.25,13.21
7/20/2015,17.34,23.64,19.77,13.87
7/21/2015,17.37,22.25,19.09,19.96
7/22/2015,17.13,24.85,20.25,8.05
7/23/2015,18.34,25.89,20.76,3.02
7/24/2015,17.23,26.87,20.83,17.65
7/25/2015,17.96,27.73,22.21,0.2
