Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,12.22,25.55,17.82,5.6
2015,2,11.18,25.96,16.68,5.2
2015,3,10.2,26.35,17.25,24.2
2015,4,10.35,26.55,16.91,46.4
2015,5,10.3,27.75,19.25,74.2
2015,6,8.92,28.54,20.38,95.2
2015,7,11.93,30.14,20.83,186.35
2015,8,13.38,28.92,20.75,263.06
2015,9,12.15,30.07,20.28,185.75
2015,10,10.83,27.9,17.44,57.67
2015,11,8.42,24.39,14.11,32.83
2015,12,10.74,26.6,17.19,30.6
2016,1,2.96,17.87,8.79,16
2016,2,6.23,22.27,12.28,6.2
2016,3,8.05,26.4,15.18,58.4
2016,4,10.42,27.21,17.67,97
2016,5,11.73,28.54,18.31,109.8
2016,6,NA,NA,NA,0
2016,7,NA,NA,NA,0
2016,8,NA,NA,NA,0
2016,9,NA,NA,NA,0
2016,10,9.81,26.52,16.74,0
2016,11,8.05,25.48,14.36,0
2016,12,6.64,22.56,12.29,7
2017,1,2.8,22.85,10.1,3.4
2017,2,6.26,24.03,12.38,9.8
2017,3,5.26,25.7,13.4,20.6
2017,4,10.05,27.19,17.16,44.4
2017,5,11.86,29.37,19.03,177
2017,6,14.31,30.12,20.99,144.2
2017,7,17.15,31.48,21.25,291.2
2017,8,17.61,30.8,21.31,12.4
2017,9,15.49,30.47,20.78,243
2017,10,10.52,29.49,18.29,53
2017,11,NA,NA,NA,0
2017,12,NA,NA,NA,0
2018,1,5.98,27.92,17.96,74
2018,2,6.79,26.18,17.25,29.8
2018,3,7.02,27.65,17.19,32.6
2018,4,10.59,28.27,19.17,34.2
2018,5,9.78,28.57,19.35,27.6
2018,6,10,28.94,20.9,30.4
2018,7,9.09,32.72,21.44,292.4
2018,8,9.49,31.13,21.33,149.6
2018,9,8.12,28.84,19.76,54.6
2018,10,8.15,28.12,16.37,13.6
2018,11,6.54,30.57,14,13
2018,12,2.5,28.72,10.71,58.8
2019,1,2.85,19.48,9.66,0
2019,2,4.56,20.91,10.73,26.6
2019,3,3.51,24.9,13.4,53.4
2019,4,7.59,28.32,16.87,59.2
2019,5,14.31,27.01,18.63,112
2019,6,14.19,31.66,21.59,98.6
2019,7,15.82,30.62,20.84,416.4
2019,8,17.77,30.67,22.32,50.6
2019,9,NA,NA,NA,0
2019,10,NA,NA,NA,0
2019,11,NA,NA,NA,0
2019,12,NA,NA,NA,0
2020,1,NA,NA,NA,0
2020,2,6.46,21.15,12.94,0
2020,3,7.39,25.55,14.16,0
2020,4,9.24,27.85,15.7,0
2020,5,11.76,27.65,17.86,0
2020,6,15.46,30.24,20.78,0
2020,7,17.77,29.41,20.71,0
2020,8,17.51,30.77,21.81,0
2020,9,15.53,29.64,20.52,0
2020,10,11.05,29.14,19.01,0
2020,11,6.61,24.92,13.58,0
2020,12,4.61,18.01,10.21,0
