Date,Tmin,Tmax,Tmean,Rainfall
1/1/2015,6.31,28.47,14,0
1/2/2015,4.97,24.73,12.92,0
1/3/2015,14.46,30.44,21.58,0
1/4/2015,17.63,30.55,21.69,1.2
1/5/2015,18.44,32.15,22.81,0.2
1/6/2015,21.39,32.43,25.89,1.6
1/7/2015,23.38,33.31,27.08,0.2
1/8/2015,23.06,31.05,25.51,0
1/9/2015,NA,NA,NA,0
1/10/2015,19.65,34.49,24.98,0
1/11/2015,13.81,32.72,21.07,1.2
1/12/2015,12.32,29.89,18.99,0
1/13/2015,4.84,27.11,12.89,0
1/14/2015,4.79,26.74,12.65,0
1/15/2015,5.39,27.28,13.2,0
1/16/2015,5.97,27.14,13.57,0
1/17/2015,6.18,27.04,13.66,0
1/18/2015,5.85,26.57,13.7,0
1/19/2015,5.54,25.16,13.35,0
1/20/2015,6.13,26.65,13.67,0
1/21/2015,5.59,28.2,13.73,0
1/22/2015,5.26,26.55,13.65,0
1/23/2015,6.18,25.82,14.81,0
1/24/2015,11.76,24.03,16.35,0
1/25/2015,10,26.43,16.03,0
1/26/2015,11.52,24.8,16.41,0
1/27/2015,9.48,21.99,15.21,0
1/28/2015,8.97,25.21,15.35,0
1/29/2015,7.64,25.53,14.72,0
1/30/2015,7.09,24.77,13.9,0
1/31/2015,6.76,23.42,12.98,0
2/1/2015,6.26,29.02,14.55,0
2/2/2015,6,27.06,14.4,0
2/3/2015,17.2,28.44,22.33,0
2/4/2015,17.03,21.29,19.03,0.6
2/5/2015,19.2,30.92,23.86,0
2/6/2015,21.68,34.02,27.01,0
2/7/2015,23.52,33.57,27.51,0.6
2/8/2015,22.94,36.99,28.36,1.4
2/9/2015,NA,NA,NA,0
2/10/2015,19.72,35.13,25.37,0
2/11/2015,14.86,33.52,22.06,0
2/12/2015,11.44,30.42,18.59,0
2/13/2015,9.04,22.2,13.83,1
2/14/2015,7.72,25.23,15.35,0
2/15/2015,9.76,26.7,16.31,0
2/16/2015,8.37,27.83,16.71,0
2/17/2015,8.59,28.17,16.26,0
2/18/2015,8.14,28.39,14.85,1
2/19/2015,8.72,26.23,15.22,0.2
2/20/2015,9.46,27.58,16.82,0
2/21/2015,10.66,25.5,16.97,0
2/22/2015,9.31,28.27,17.42,0
2/23/2015,9.68,29.24,18.87,0
2/24/2015,16.44,27.92,20.91,0
2/25/2015,17.01,28.67,21.03,0
2/26/2015,16.01,29.61,21.44,0
2/27/2015,13.4,30.98,20.55,0
2/28/2015,13.59,30.82,21.3,0
3/1/2015,8.82,13.45,11.47,0.6
3/2/2015,6.64,28.12,14.86,0
3/3/2015,13.21,31.28,20.99,0
3/4/2015,14.74,31.61,21.8,0.4
3/5/2015,19.77,32.54,24.78,0
3/6/2015,23.16,32.54,27.19,0
3/7/2015,23.52,31.97,26.23,0
3/8/2015,23.54,31.66,26.37,0
3/9/2015,22.9,32.12,25.51,0
3/10/2015,20.86,26.57,23.6,6.8
3/11/2015,16.44,33.13,21.62,0
3/12/2015,13.52,24.77,16.23,0.4
3/13/2015,13.16,31.79,21.31,0
3/14/2015,14.41,30.67,21.91,0
3/15/2015,17.99,31.2,23.79,0
3/16/2015,17.72,31.08,22.89,0
3/17/2015,14.77,31.94,22.09,0
3/18/2015,14.65,31.36,22.22,0
3/19/2015,14.31,30.92,21.42,0
3/20/2015,13.52,30.95,21.36,0
3/21/2015,13.67,32.87,22.28,0
3/22/2015,13.83,34.33,22.91,0
3/23/2015,15.17,33.84,23.72,0.2
3/24/2015,16.7,34.1,23.6,0.8
3/25/2015,14.12,35.02,23.88,0
3/26/2015,15.99,33.5,24.02,0.4
3/27/2015,17.44,31.43,23.74,0
3/28/2015,19.56,32.54,23.69,0
3/29/2015,19.51,34.1,25.1,0
3/30/2015,19.06,31.92,23.42,0.2
3/31/2015,16.75,29.09,20.6,0
4/1/2015,10.79,23.02,14.6,1.8
4/2/2015,6.43,26.84,15.03,0
4/3/2015,15.03,27.58,19.66,0.2
4/4/2015,18.2,30.8,23.58,1.4
4/5/2015,20.06,33.6,25.32,0
4/6/2015,23.18,33.7,27.27,0
4/7/2015,23.42,30.77,25.96,0.8
4/8/2015,22.94,33.76,26.42,0.4
4/9/2015,22.42,34.81,25.42,17.8
4/10/2015,18.82,35.39,24.42,0
4/11/2015,18.2,30.52,21.71,0.4
4/12/2015,10.59,28.12,16.69,0.2
4/13/2015,17.03,24.97,20.09,0.4
4/14/2015,14.91,32.87,23.23,0
4/15/2015,17.68,34.94,25.6,0
4/16/2015,19.44,33.76,25.05,0
4/17/2015,16.96,33.7,23.24,3.6
4/18/2015,17.27,26.48,19.77,3.4
4/19/2015,15.41,31.77,21.96,0
4/20/2015,17.46,32.72,23.63,0
4/21/2015,19.27,32.28,23.74,1.2
4/22/2015,19.22,25.43,21.19,0.8
4/23/2015,18.79,29.61,22.21,0.8
4/24/2015,17.11,23.42,19.72,2.4
4/25/2015,16.11,20.06,17.93,0.4
4/26/2015,15.25,29.54,20.42,4
4/27/2015,16.89,29.92,22.07,0.4
4/28/2015,17.99,28.34,22.09,0
4/29/2015,17.01,19.79,18.86,3.2
4/30/2015,16.11,28.39,21.72,0
5/1/2015,12.39,24.46,16.11,0
5/2/2015,8.39,26.3,15.98,0
5/3/2015,10.34,29.66,18.75,0
5/4/2015,15.34,30.09,21.84,0.8
5/5/2015,19.27,32.56,25.13,0
5/6/2015,23.95,33.5,27.04,0
5/7/2015,23.76,31.05,26.75,0
5/8/2015,22.42,33.97,25.95,0.6
5/9/2015,22.23,33.44,25.73,0
5/10/2015,16.65,35.58,23.92,0
