Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,4.53,29.02,14.16,2.4
2015,2,4.97,30.98,16.96,2.2
2015,3,10.34,35.02,21.95,1.8
2015,4,14.74,34.94,21.95,31.8
2015,5,17.58,36.17,24.85,9
2015,6,20.86,37.62,26.55,21
2015,7,20.46,38.9,27,17
2015,8,20.94,37.18,26.3,193.8
2015,9,19.1,39.4,25.71,64.4
2015,10,13.06,36.85,22.93,11
2015,11,9.46,34.1,18.75,3.2
2015,12,6.79,30.42,15.85,2
2016,1,5.46,28.3,14.19,12.6
2016,2,9.11,30.37,17.05,3
2016,3,12.36,36.77,21.53,22
2016,4,14.82,36.47,24.17,119.2
2016,5,16.87,36.91,24.18,94.2
2016,6,19.03,38.64,27.41,0
2016,7,22.2,37.67,26.62,27.6
2016,8,21.15,39.43,28.32,31.2
2016,9,20.17,38.92,26.11,120.6
2016,10,12.24,37.89,22.89,155.6
2016,11,9.01,35.02,18.93,0
2016,12,6.66,30.77,16.25,0.8
2017,1,4.97,32.51,14.43,10.2
2017,2,8.05,33.21,17.82,2.4
2017,3,9.01,34.47,19.1,50.4
2017,4,13.76,35.48,23.09,99.8
2017,5,17.03,40.37,25.65,85.6
2017,6,19.27,39.97,26.74,121.8
2017,7,22.15,40.83,27.22,194.6
2017,8,21.94,39.97,27.18,175.8
2017,9,21.22,41.04,26.6,128.2
2017,10,13.06,38.9,23.67,42.4
2017,11,9.36,34.12,18.47,7.8
2017,12,8.12,32.33,16.66,0
2018,1,NA,NA,NA,0
2018,2,NA,NA,NA,0
2018,3,NA,NA,NA,0
2018,4,NA,NA,NA,0
2018,5,NA,NA,NA,0
2018,6,22.25,37.34,27.41,87.2
2018,7,22.06,42.36,28.2,90
2018,8,22.56,41.24,27.68,145.6
2018,9,19.32,38,26.01,61.6
2018,10,12.39,36.85,22.4,0
2018,11,8.12,35.1,18.84,0
2018,12,4.69,30.49,15.3,0
2019,1,4.38,29.61,14.46,0
2019,2,6.2,31,16.3,0
2019,3,7.37,34.02,19.59,0
2019,4,12.24,37.23,22.86,0
2019,5,20.65,33.81,24.2,0
2019,6,NA,NA,NA,0
2019,7,NA,NA,NA,0
2019,8,NA,NA,NA,0
2019,9,NA,NA,NA,0
2019,10,NA,NA,NA,0
2019,11,NA,NA,NA,0
2019,12,NA,NA,NA,0
