Date,Tmin,Tmax,Tmean,Rainfall
1/1/2015,-7.64,17.11,1.41,0
1/2/2015,-8,16,8,0
1/3/2015,-4,15,5.5,8.9
1/4/2015,1,11.5,6.25,0.6
1/5/2015,0,12.5,6.25,0
1/6/2015,1,10.5,5.75,0
1/7/2015,13.74,22.37,16.82,0
1/8/2015,11.61,20.13,14.35,0
1/9/2015,12.97,20.51,14.84,0
1/10/2015,9.71,21.75,14.75,0
1/11/2015,0.93,17.53,7.35,0
1/12/2015,3.72,14.6,7.51,0
1/13/2015,-10,14,2,0
1/14/2015,-9.5,12,1.25,0
1/15/2015,-10.5,12,0.75,0
1/16/2015,-11,12,0.5,0
1/17/2015,-10,11,0.5,0
1/18/2015,-11.5,12,0.25,0
1/19/2015,-7.5,11.5,2,0
1/20/2015,-8,13.5,2.75,0
1/21/2015,-10.5,11,0.25,0
1/22/2015,-10,15,2.5,0
1/23/2015,-9,12.5,1.75,0
1/24/2015,0.5,13,6.75,0
1/25/2015,0.5,12.5,6.5,0
1/26/2015,0,13.5,6.75,0
1/27/2015,2,13,7.5,0
1/28/2015,0,15,7.5,0
1/29/2015,-4,14,5,0
1/30/2015,-2.5,10.5,4,0
1/31/2015,-5,11,3,0
2/1/2015,-6.1,16.13,3.29,0
2/2/2015,-9,12.5,1.75,0
2/3/2015,-6.5,12.5,3,0
2/4/2015,-5,15,5,0
2/5/2015,0,12.5,6.25,0
2/6/2015,1.5,14,7.75,0
2/7/2015,12.85,22.66,16.62,0
2/8/2015,11.64,22.06,15.61,0
2/9/2015,11.52,18.96,14.52,0
2/10/2015,10.3,19.03,13.95,0
2/11/2015,3.77,15.77,8.76,0
2/12/2015,1.45,14.46,6.78,0
2/13/2015,-3.5,11,3.75,0
2/14/2015,-4.5,12,3.75,0
2/15/2015,1,11.5,6.25,0
2/16/2015,3,15,9,0
2/17/2015,-2.5,14,5.75,0
2/18/2015,-1.5,12.5,5.5,0
2/19/2015,0.5,11,5.75,0
2/20/2015,-4.5,10.5,3,0
2/21/2015,3.5,12,7.75,0
2/22/2015,-2.5,18,7.75,0
2/23/2015,-6,19,6.5,0
2/24/2015,-4.5,17,6.25,0
2/25/2015,7,17,12,0
2/26/2015,6,18,12,6
2/27/2015,4,17,10.5,0
2/28/2015,3,18.5,10.75,0
3/1/2015,-2.77,3.67,0.93,3.7
3/2/2015,4,13.5,8.75,0
3/3/2015,6,15,10.5,0.8
3/4/2015,1.5,15,8.25,0
3/5/2015,-2.5,14.5,6,0
3/6/2015,2.5,13.5,8,0
3/7/2015,13.83,20.82,16.25,0
3/8/2015,12.85,23.04,15.45,0
3/9/2015,13.04,19.08,14.73,0
3/10/2015,9.88,15.99,12.81,0
3/11/2015,6.41,14.67,9.02,0
3/12/2015,2.72,8.27,4.78,0
3/13/2015,4.5,18.5,11.5,0
3/14/2015,4,16,10,0
3/15/2015,5,18.5,11.75,0
3/16/2015,4.5,19,11.75,0
3/17/2015,4,20,12,0
3/18/2015,2,17.5,9.75,5.5
3/19/2015,1.5,15,8.25,0
3/20/2015,4,17,10.5,0
3/21/2015,4,18,11,0
3/22/2015,0,19.5,9.75,0
3/23/2015,1,16,8.5,7.9
3/24/2015,4.5,19,11.75,1.9
3/25/2015,2,20,11,0
3/26/2015,0,19.5,9.75,2.5
3/27/2015,4.5,18,11.25,0.5
3/28/2015,7,18.5,12.75,0
3/29/2015,8,20,14,0
3/30/2015,7,18,12.5,13.2
3/31/2015,3.5,15,9.25,0.7
4/1/2015,-0.51,10.76,2.82,1.6
4/2/2015,6,13,9.5,3.6
4/3/2015,5.5,16,10.75,3.3
4/4/2015,5.5,18,11.75,5.5
4/5/2015,3,17.5,10.25,1.4
4/6/2015,4,17,10.5,0
4/7/2015,13.62,23.47,16.45,0.6
4/8/2015,13.04,22.97,15.75,2.9
4/9/2015,13.11,21.41,15.32,0
4/10/2015,8.24,18.49,11.5,1.9
4/11/2015,5.49,13.45,8.34,0.7
4/12/2015,0.44,16.22,5.27,19.3
4/13/2015,5,13,9,1.3
4/14/2015,5,19,12,0
4/15/2015,7,21,14,0
4/16/2015,5,20,12.5,2
4/17/2015,6,19,12.5,9.5
4/18/2015,5,13,9,4.1
4/19/2015,4,21.5,12.75,0
4/20/2015,7,19,13,0
4/21/2015,8,20,14,0.8
4/22/2015,8,17,12.5,10
4/23/2015,6,12,9,4.8
4/24/2015,5.5,15,10.25,5.3
4/25/2015,5,11,8,2.1
4/26/2015,5,16,10.5,0.3
4/27/2015,4,17,10.5,3.6
4/28/2015,7,16,11.5,1.4
4/29/2015,6,11,8.5,8.1
4/30/2015,7,17,12,0
5/1/2015,-1.18,11.25,3.15,1.7
5/2/2015,8,18,13,0.2
5/3/2015,10,19.5,14.75,0
5/4/2015,7,20.5,13.75,0
5/5/2015,9,20.5,14.75,5.9
5/6/2015,9,18,13.5,3.6
5/7/2015,13.35,22.94,16.84,9.4
5/8/2015,13.71,18.91,15.31,0.2
5/9/2015,13.18,19.72,15.17,0
5/10/2015,5.74,21.84,12.82,0
5/11/2015,5.13,11.69,7.25,10.3
5/12/2015,-4.23,14.07,2.95,0
5/13/2015,12.5,18,15.25,0.2
5/14/2015,12,20.5,16.25,0
5/15/2015,13,18,15.5,0
5/16/2015,12,19,15.5,23.1
5/17/2015,10.5,20.5,15.5,2.3
5/18/2015,11.5,21,16.25,2.2
