Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,-11.5,23.5,5.91,16.7
2015,2,-9,24,9.53,21.4
2015,3,-6.5,24,11.69,56.1
2015,4,-5,25,11.92,71.7
2015,5,-4,23.5,14.38,73.7
2015,6,-5,25.14,14.81,69.5
2015,7,9.11,24.73,15.76,105.9
2015,8,10.1,24.92,15.55,115.4
2015,9,10,24.1,14.92,69.1
2015,10,1.59,22.42,10.64,38.4
2015,11,-4.59,19.25,6.99,26.7
2015,12,-9.82,16.22,2.35,40.9
2016,1,-8.83,13.28,1.09,29.9
2016,2,-4.8,18.08,5.03,14.1
2016,3,-1.44,19.7,7.52,42.7
2016,4,2,22,11.53,58.6
2016,5,-0.5,24.99,11.65,99.4
2016,6,8.17,25.57,15.76,53.5
2016,7,10.27,24.41,15.87,126.9
2016,8,6.99,25.99,16.25,98.1
2016,9,9.93,23.42,14.77,103.7
2016,10,-2.98,24.6,10.53,35.8
2016,11,-5.7,18.72,5.59,40.4
2016,12,-7.74,18.03,3.46,37
2017,1,-9.168,18.105,1.3,26.8
2017,2,-6.294,19.389,4.75,23.3
2017,3,-4.773,20.34,6,66.8
2017,4,-3.21,21.68,10.07,55.6
2017,5,4.97,23.79,12.52,74.1
2017,6,7.34,24.6,15.32,83.1
2017,7,10.247,26.573,16.06,43.6
2017,8,11.053,24.847,16.3,104.5
2017,9,9.58,25.31,15.4,111.4
2017,10,-4.5,22.5,11.91,63.4
2017,11,-3.96,20.98,5.04,59.6
2017,12,-8.5,17.63,5.23,53.6
2018,1,-9,14.55,1.96,23.1
2018,2,-5.64,18.18,4.53,28.8
2018,3,-3.45,19.37,6.73,31.3
2018,4,-1.87,20,10.03,57.3
2018,5,1.43,22.25,11.96,71.6
2018,6,8.57,24.85,16.78,46.9
2018,7,-5,26.5,16.46,63.3
2018,8,11.175,27.653,16.21,67.7
2018,9,9.114,25.089,15.13,37.7
2018,10,-3.508,20.079,8.96,26.1
2018,11,-5.979,19.722,5.25,16.2
2018,12,-10,15.629,2.66,61.2
2019,1,-10,24,6.84,12.5
2019,2,-9.5,26,8.94,22.8
2019,3,-6,25,10.59,43.3
2019,4,-2.5,23.5,12.66,67.2
2019,5,-9,23.5,13.8,68.9
2019,6,-9.5,26,16.04,39.3
2019,7,-10,25,15.74,168
2019,8,-9,25.5,16.38,79.3
2019,9,-9,26,14.14,76.2
2019,10,-6.5,25,12.31,18.3
2019,11,-4.5,25,11.42,8.9
2019,12,-11.5,26.5,7.68,14
2020,1,-11,24.82,6.4,29.5
2020,2,-5.5,24.73,8.72,27.5
2020,3,-4.68,26.33,8.7,15.1
2020,4,-4.5,26.5,9.64,49.8
2020,5,-6.5,24.75,11.34,151.1
2020,6,-9.5,24.9,13.32,98.7
2020,7,-6,24.75,13.58,103.6
2020,8,-5.5,25.4,13.76,88.9
2020,9,-7.5,24.63,12.99,42.4
2020,10,-10.5,23.71,10.73,19.3
2020,11,-5.14,22.54,6.63,14.9
2020,12,-9.5,22.37,5.35,12
