Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,10,30,18.05,109
2015,2,9,29,17.85,54
2015,3,8,28,18.23,19
2015,4,9,31,19.71,199
2015,5,9,30,20.87,184
2015,6,9,35,22.69,245
2015,7,9,32,20.83,410
2015,8,9,31,20.08,415
2015,9,9,33,6.84,25
2015,10,9,30,19.02,130
2015,11,9,30,17.6,65
2015,12,8,31,15.47,0
2016,1,8,33,17.08,16
2016,2,8,35,22.12,46
2016,3,8,34,20.95,157
2016,4,9,33,21.95,100
2016,5,9,33,24.71,119
2016,6,10,35,25.35,203
2016,7,10,35,25.39,129
2016,8,10,33,24.02,97
2016,9,10,34,24.62,120
2016,10,9,34,21.45,48
2016,11,9,33,21.65,48
2016,12,8,33,18.56,32.3
2017,1,7,35,17.55,47.9
2017,2,8,35,17,113.8
2017,3,7,35,19.92,157.3
2017,4,8,34,23.38,377.4
2017,5,8,35,23.77,2285.1
2017,6,8,35,24.93,405.6
2017,7,8,35,25.48,320
2017,8,8,37,25.97,487.5
2017,9,8,35,24.1,487.4
2017,10,7,35,23.95,209.1
2017,11,8,35,16.6,519
2017,12,7,36,16.48,380
2018,1,10,34,5.27,158
2018,2,6,33,13.82,183
2018,3,7,32,12.95,216.2
2018,4,7,39,13.27,201
2018,5,11,35,14.9,451
2018,6,11,34,14.77,503
2018,7,11,35,15.24,559
2018,8,6,35,15.19,283.4
2018,9,17,38,14.6,432.5
2018,10,18,34,14.1,134
2018,11,18,36,12.03,134
2018,12,18,32,10.95,155
2019,1,13,34,6.55,39
2019,2,13,34,13.77,267
2019,3,13,34,15.69,71
2019,4,12,32,6.87,36
2019,5,12,33,6.66,25
2019,6,12,34,23.7,340
2019,7,13,33,23.6,295
2019,8,13,34,24.23,141
2019,9,13,34,21.83,99.9
2019,10,13,32,21.44,45
2019,11,12,32,19.42,56
2019,12,11,37,17.68,45
2020,1,11,29,16.44,40
2020,2,10,30,17.07,198
2020,3,12,29,18.58,144
2020,4,12,29,19.15,295
2020,5,10,29,19.19,575
2020,6,10,31,21.93,715
2020,7,11,30,19.9,805
2020,8,11,30,6.29,20
2020,9,12,31,6.55,80
2020,10,10,31,15.66,205
2020,11,12,32,16.03,145
2020,12,11,32,14.55,150
