Date,Tmin,Tmax,Tmean,Rainfall
1/1/2015,-4.71,21.1,4.9,0
1/2/2015,-5.76,14.1,2.27,0
1/3/2015,1.21,19.91,11.03,0.2
1/4/2015,NA,NA,NA,0
1/5/2015,NA,NA,NA,0
1/6/2015,NA,NA,NA,0
1/7/2015,14.84,26.89,19.8,0
1/8/2015,14.67,22.63,17.61,0
1/9/2015,15.41,26.26,19.19,2.6
1/10/2015,7.92,26.94,16.03,0.2
1/11/2015,1.56,22.39,10.87,0
1/12/2015,3.17,19.79,9.97,0
1/13/2015,-5.98,17.49,3.31,0
1/14/2015,-5.82,15.72,2.85,0
1/15/2015,-5.6,16.7,3.06,0
1/16/2015,-6.67,16.06,2.45,0
1/17/2015,-5.67,14.84,2.34,0
1/18/2015,-6.2,15.2,2.4,0
1/19/2015,-5.42,14.96,2.61,0
1/20/2015,-5.23,16.68,3.47,0
1/21/2015,-4.47,19.89,4.87,0
1/22/2015,-4.9,18.6,4.38,0
1/23/2015,-4.05,17.39,4.54,0
1/24/2015,-4.08,17.46,4.27,0
1/25/2015,-3.06,17.34,4.86,0
1/26/2015,-3.3,18.08,5.1,0
1/27/2015,-2.16,18.37,6.37,0
1/28/2015,-4.02,17.44,4.86,0
1/29/2015,-5.57,15.96,3.39,0
1/30/2015,-6.8,14.39,2.21,0
1/31/2015,-5.92,14.94,2.31,0
2/1/2015,-2.86,20.65,6.96,0
2/2/2015,-5.36,16.42,3.53,0
2/3/2015,3.14,8.05,6.11,14.8
2/4/2015,NA,NA,NA,0
2/5/2015,NA,NA,NA,0
2/6/2015,NA,NA,NA,0
2/7/2015,13.55,27.97,19.9,0
2/8/2015,13.67,26.79,18.25,0
2/9/2015,14.89,24.36,17.84,3.6
2/10/2015,9.56,26.65,16.88,0
2/11/2015,7.64,22.37,12.89,0
2/12/2015,1.26,19.22,8.96,NA
2/13/2015,1.45,14.55,6.35,NA
2/14/2015,-1.3,15.89,6.39,NA
2/15/2015,0.85,14.19,6.8,NA
2/16/2015,0.36,18.94,7.04,NA
2/17/2015,-2.04,18.32,6.73,NA
2/18/2015,1.45,16.77,7.01,NA
2/19/2015,-1.9,14.98,6.05,NA
2/20/2015,1.1,18.75,7.86,NA
2/21/2015,0.82,16.75,9.08,NA
2/22/2015,2.07,22.8,9.64,NA
2/23/2015,-1.99,23.71,9.11,NA
2/24/2015,2.05,22.01,10.75,NA
2/25/2015,5.62,21.7,12.37,NA
2/26/2015,4.56,21.39,9.9,NA
2/27/2015,4.61,21.29,10.61,NA
