Date,Tmin,Tmax,Tmean,Rainfall
1/1/2015,3.3,15.51,7.6,0
1/2/2015,4.22,16.37,8.32,0
1/3/2015,4.48,9.46,6.27,2.2
1/4/2015,2.07,13.06,6.16,1.8
1/5/2015,-0.06,13.26,4.48,0
1/6/2015,2.07,5.36,3.49,0
1/7/2015,-0.14,7.07,2.79,0
1/8/2015,-1.13,7.04,1.64,0
1/9/2015,-1.5,10.86,3.42,0
1/10/2015,-0.06,14.27,5.13,0
1/11/2015,1.86,14.48,6.23,0
1/12/2015,1.56,12.73,5.71,0
1/13/2015,1.15,11.9,4.99,0
1/14/2015,-0.4,9.63,3.57,0
1/15/2015,-0.45,10.96,3.64,0
1/16/2015,-0.56,9.93,3.7,0
1/17/2015,-1.07,9.21,2.95,0
1/18/2015,-1.1,9.98,3.12,0
1/19/2015,-0.93,9.51,3.15,0
1/20/2015,-1.19,10.64,3.85,0
1/21/2015,1.75,13.81,6.32,0
1/22/2015,1.86,13.28,5.93,0
1/23/2015,0.5,10.93,4.42,0
1/24/2015,1.07,10.91,4.92,0
1/25/2015,1.15,10.49,5.18,0
1/26/2015,1.56,11.32,5.27,0
1/27/2015,1.15,12.24,5.11,0
1/28/2015,0.02,12.58,4.83,0
1/29/2015,-0.51,10.76,3.56,0
1/30/2015,-2.1,9.51,2.33,0
1/31/2015,-2.8,11.49,1.97,0
2/1/2015,-2.63,8.2,2.13,0
2/2/2015,-1.27,10.25,3.86,0
2/3/2015,0.38,12.03,5.04,0
2/4/2015,0.52,11.76,5.04,0
2/5/2015,0.69,10.88,5.15,0
2/6/2015,2.69,11.39,5.99,0
2/7/2015,2.53,10.96,5.73,0
2/8/2015,1.75,10.79,5.59,0
2/9/2015,1.94,10.03,5.01,0
2/10/2015,2.24,10.59,5.65,0
2/11/2015,1.99,11.47,6.13,0
2/12/2015,1.32,12.34,5.18,0
2/13/2015,-0.85,9.16,3.05,0
2/14/2015,-0.73,10.59,4.15,0
2/15/2015,1.04,6.59,2.97,1.2
2/16/2015,-0.23,13.21,5.58,0.2
2/17/2015,1.34,12.7,5.02,0
2/18/2015,1.78,7.85,4.31,0.8
2/19/2015,1.43,7.32,3.76,0
2/20/2015,0.19,12.82,5.8,0
2/21/2015,3.49,11.98,5.96,0.6
2/22/2015,1.26,16.56,7.83,0
2/23/2015,3.85,17.32,9.42,0
2/24/2015,5.92,15.65,9.78,0
2/25/2015,7.32,14.15,8.9,0
