Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,-2.8,24.29,6.91,37.6
2015,2,-1.27,23.88,8.46,29.8
2015,3,0.38,23.3,10.61,81.2
2015,4,0.52,22.92,10.55,111
2015,5,-0.06,23.74,13.12,169.8
2015,6,1.29,23.21,14.1,221.8
2015,7,-0.14,24.1,14.13,195
2015,8,-1.13,23.28,14.14,246.8
2015,9,-1.5,22.8,13.03,139.6
2015,10,-0.06,24.03,11.84,37
2015,11,1.86,23.35,9.39,83.2
2015,12,-3.45,23.18,5.91,38.2
2016,1,-2.31,21.94,3.85,25.11
2016,2,0.05,19.7,7.4,6.91
2016,3,0.22,22.56,9.49,39.35
2016,4,-0.28,24.77,12,16.1
2016,5,1.51,23.71,12.23,94.6
2016,6,0.55,24.8,13.71,183.27
2016,7,2.16,21.13,9.66,9.79
2016,8,0.38,20.44,10.04,1.2
2016,9,0.27,22.44,9.41,15.66
2016,10,-1.16,22.75,9.88,1.63
2016,11,0.47,23.59,8.95,22.88
2016,12,-1.04,22.99,8.77,21.98
2017,1,0.61,24.36,11.77,30.8
2017,2,-0.45,24.75,11.76,97.2
2017,3,-0.23,22.01,11.91,43.2
2017,4,-0.7,24.94,12.74,39.6
2017,5,-0.93,24.8,12.85,28.2
2017,6,-2.04,25.04,15.2,277.8
2017,7,-1.24,25.09,15.48,190.2
2017,8,-0.14,24.65,15.2,250.8
2017,9,-0.51,23.69,14.69,159.6
2017,10,-1.56,24.65,11.66,92.6
2017,11,1.75,24,9.37,85.2
2017,12,1.43,22.32,9.63,108
2018,1,-1.73,22.61,6.66,47.2
2018,2,-0.42,23.71,8.14,77
2018,3,-1.16,22.08,9.64,61.8
2018,4,-1.1,22.87,10.75,87.4
2018,5,-0.87,23.28,12.39,121.2
2018,6,-2.04,24.05,14.11,167.6
2018,7,-2.13,25.4,14.4,310
2018,8,-3.01,26.28,14.43,331
2018,9,-1.96,23.88,13.49,115.6
2018,10,-1.41,24.2,10.3,64.4
2018,11,-1.04,24.15,8.66,68
2018,12,-3.36,23.88,6.58,57.6
2019,1,-3.01,26.5,6.5,60.6
2019,2,-1.79,23.42,7.53,56.8
2019,3,-1.9,24.7,9.57,65.4
2019,4,-1.76,23.26,11.57,107.8
2019,5,-2.28,23.45,12.52,163.8
2019,6,-0.37,24.87,14.58,117.4
2019,7,-0.62,23.93,14.22,375.6
2019,8,-0.28,24.48,14.56,190.8
2019,9,-1.5,23.33,12.42,181.6
2019,10,-2.89,22.59,11.1,48
2019,11,-1.3,23.33,9.89,61.4
2019,12,-1.21,24.41,10.67,46
2020,1,-2.25,23.88,6.36,26.2
2020,2,-2.65,26.16,7.98,42
2020,3,-1.53,24.77,9.68,62.8
2020,4,-0.82,26.7,10.34,99.8
2020,5,-2.68,25.53,11.8,229
2020,6,-3.78,25.6,13.65,269.8
2020,7,-2.36,29.72,14,265.2
2020,8,-2.1,24.82,14.29,264.2
2020,9,-2.54,23.55,13.49,198.8
2020,10,-1.84,24.53,12.27,31.2
2020,11,-0.23,22.49,8.78,35.6
2020,12,-1.79,22.8,7.2,45.2
