Year,Month,Tmin,Tmax,Tmean,Rainfall
2014,1,14.03,32.56,22.82,0
2014,2,14.74,31.82,23,0
2014,3,15.13,31.97,23.04,0
2014,4,14.86,31.79,23.08,0
2014,5,15.15,32.72,23.28,0
2014,6,15.8,33.68,23.78,0
2014,7,15.53,33.47,23.05,0.2
2014,8,13.62,32.64,22.47,0.4
2014,9,14.48,32.64,24.09,88.6
2014,10,13.33,32.28,23.2,12.2
2014,11,11.88,31.33,20.5,13.2
2014,12,10.08,30.49,17.99,0
2015,1,7.29,28.39,17.12,17.8
2015,2,9.48,29.31,19.32,0
2015,3,12.73,34.07,23.07,0
2015,4,16.18,32.92,23.03,133
2015,5,19.65,32.9,25.14,4.4
2015,6,21.75,36.31,26.06,0
2015,7,21.94,36.74,27.33,15.2
2015,8,22.13,35.53,26.29,843.8
2015,9,21.75,35.77,26.12,0
2015,10,16.46,33.78,24.43,0
2015,11,14.15,30.19,20.81,0
2015,12,13.35,27.38,18.74,1.2
2016,1,9.01,32.23,17.12,16.4
2016,2,12.29,32.51,21.26,0.8
2016,3,12.73,33.44,23.03,0.4
2016,4,12.22,34.47,23.7,20.6
2016,5,11.37,33.26,23.56,0
2016,6,12.17,30.49,21.53,4
2016,7,12.22,31.13,21.57,0
2016,8,12.51,32.79,22.02,12.8
2016,9,11.88,32.54,21.9,13.2
2016,10,10.47,33.5,22.62,1.8
2016,11,10.27,33.03,21.19,0.4
2016,12,10.64,33.13,19.98,0
2017,1,9.26,29.34,18.17,6.6
2017,2,13.09,30.42,20.22,23.6
2017,3,12.46,31.87,21.23,62
2017,4,17.3,33,23.87,173.6
2017,5,18.65,36.31,25.7,228.4
2017,6,22.42,35.9,26.62,805.6
2017,7,NA,NA,NA,0
2017,8,NA,NA,NA,0
2017,9,NA,NA,NA,0
2017,10,16.68,33.68,23.49,0
2017,11,14.1,30.57,21.17,0
2017,12,11.95,29.31,19.06,0
2018,1,NA,NA,NA,0
2018,2,NA,NA,NA,0
2018,3,NA,NA,NA,0
2018,4,NA,NA,NA,0
2018,5,NA,NA,NA,0
2018,6,22.18,33.34,25.9,0
2018,7,23.3,37.65,27.15,0
2018,8,23.47,37.45,27.46,0
2018,9,21.75,35.29,25.89,0
2018,10,16.08,32,23.29,0
2018,11,13.38,30.62,20.1,0
2018,12,9.21,28.17,17.58,0
2019,1,9.31,28.69,17.27,0
2019,2,10.54,29.16,18.4,0
2019,3,9.51,31.05,21.27,0
2019,4,15.49,34.44,23.67,0
2019,5,20.06,32.61,24.42,0
2019,6,20.72,36.34,26.97,0
2019,7,22.03,36.82,26.21,0
2019,8,23.5,38.45,28.02,0
2019,9,20.77,35.66,25.97,0
2019,10,17.77,32.66,23.93,0
2019,11,16.06,31.36,22.19,0
