Date,Tmin,Tmax,Tmean,Rainfall
1/1/2015,-5,9,2,0
1/2/2015,-2,7,2.5,0
1/3/2015,-4,9,2.5,0
1/4/2015,0,8,4,0
1/5/2015,-4,7,1.5,0
1/6/2015,-3,9,3,0
1/7/2015,-4,8,2,0
1/8/2015,-4,6,1,0
1/9/2015,-6,6,0,0
1/10/2015,-3,8,2.5,0
1/11/2015,-6,7,0.5,0
1/12/2015,-4,6,1,0
1/13/2015,-3,9,3,0
1/14/2015,-1,7,3,0
1/15/2015,-2,8,3,0
1/16/2015,0,9,4.5,0
1/17/2015,3,7,5,0
1/18/2015,-2,7,2.5,0
1/19/2015,-5,8,1.5,0
1/20/2015,-2,7,2.5,0
1/21/2015,-2,7,2.5,0
1/22/2015,-3,8,2.5,0
1/23/2015,-3,9,3,0
1/24/2015,-2,9,3.5,0
1/25/2015,-2,8,3,0
1/26/2015,-3,7,2,0
1/27/2015,-1,8,3.5,0
1/28/2015,-3,9,3,0
1/29/2015,0,7,3.5,0
1/30/2015,-3,7,2,0
1/31/2015,-1,8,3.5,0
2/1/2015,3,7,5,3.5
2/2/2015,2,8,5,0
2/3/2015,2,7,4.5,0
2/4/2015,1,9,5,0
2/5/2015,1,9,5,6
2/6/2015,2,8,5,0
2/7/2015,1,9,5,0
2/8/2015,3,7,5,0
2/9/2015,5,9,7,0
2/10/2015,1,8,4.5,0
2/11/2015,0,9,4.5,0
2/12/2015,2,8,5,5.5
2/13/2015,0,9,4.5,0
2/14/2015,1,9,5,0
2/15/2015,3,7,5,9.5
2/16/2015,4,8,6,6.5
2/17/2015,4,7,5.5,0
2/18/2015,4,9,6.5,7
2/19/2015,2,8,5,0
2/20/2015,1,8,4.5,0
2/21/2015,13,7,10,0
2/22/2015,5,8,6.5,0
2/23/2015,2,9,5.5,11
2/24/2015,1,8,4.5,0
2/25/2015,4,9,6.5,0
2/26/2015,3,7,5,0
2/27/2015,4,8,6,0
2/28/2015,2,7,4.5,0
3/1/2015,4,8,6,0
3/2/2015,3,7,5,0
3/3/2015,2,9,5.5,12
3/4/2015,2,9,5.5,0
3/5/2015,4,9,6.5,0
3/6/2015,2,9,5.5,0
3/7/2015,2,8,5,0
3/8/2015,4,9,6.5,0
3/9/2015,2,7,4.5,0
3/10/2015,3,10,6.5,6.5
3/11/2015,2,11,6.5,0
3/12/2015,3,9,6,0
3/13/2015,3,9,6,0
3/14/2015,2,8,5,0
3/15/2015,2,9,5.5,0
3/16/2015,3,9,6,11
3/17/2015,2,7,4.5,8
3/18/2015,2,9,5.5,0
3/19/2015,3,9,6,0
3/20/2015,3,9,6,0
3/21/2015,4,9,6.5,0
3/22/2015,2,8,5,0
3/23/2015,4,8,6,0
3/24/2015,3,9,6,0
3/25/2015,4,9,6.5,0
3/26/2015,4,10,7,0
3/27/2015,2,9,5.5,0
3/28/2015,3,10,6.5,6.5
3/29/2015,4,10,7,0
3/30/2015,2,8,5,0
3/31/2015,3,9,6,0
4/1/2015,4,10,7,8
4/2/2015,3,11,7,13.5
4/3/2015,2,11,6.5,0
4/4/2015,4,10,7,0
4/5/2015,5,9,7,0
4/6/2015,4,13,8.5,9
4/7/2015,4,12,8,5.5
4/8/2015,3,11,7,0
4/9/2015,4,11,7.5,0
4/10/2015,3,11,7,0
4/11/2015,4,10,7,7.5
4/12/2015,5,10,7.5,11
4/13/2015,4,10,7,0
4/14/2015,3,9,6,0
4/15/2015,4,10,7,4.5
4/16/2015,5,11,8,6.5
4/17/2015,2,13,7.5,8.5
4/18/2015,2,11,6.5,12.5
4/19/2015,3,13,8,0
4/20/2015,4,10,7,0
4/21/2015,4,11,7.5,0
4/22/2015,2,10,6,0
4/23/2015,5,11,8,8.5
4/24/2015,4,11,7.5,0
4/25/2015,4,12,8,0
4/26/2015,7,10,8.5,5.3
4/27/2015,4,11,7.5,0
4/28/2015,2,13,7.5,0
4/29/2015,3,12,7.5,14.5
4/30/2015,4,11,7.5,8
5/1/2015,7,12,9.5,8.5
5/2/2015,6,12,9,0
5/3/2015,5,13,9,0
5/4/2015,7,13,10,0
5/5/2015,6,14,10,0
5/6/2015,7,14,10.5,0
5/7/2015,8,14,11,0
5/8/2015,5,13,9,0
5/9/2015,6,12,9,12.5
5/10/2015,7,13,10,0
5/11/2015,5,14,9.5,0
5/12/2015,5,13,9,15
5/13/2015,4,12,8,6
5/14/2015,3,13,8,0
5/15/2015,6,14,10,0
5/16/2015,5,12,8.5,0
5/17/2015,4,11,7.5,0
5/18/2015,5,12,8.5,7
5/19/2015,4,13,8.5,8.5
5/20/2015,6,13,9.5,5
5/21/2015,5,14,9.5,0
5/22/2015,5,13,9,0
5/23/2015,5,12,8.5,0
5/24/2015,5,12,8.5,0
5/25/2015,4,11,7.5,7.5
5/26/2015,4,13,8.5,0
5/27/2015,8,14,11,0
5/28/2015,7,15,11,0
5/29/2015,6,14,10,0
5/30/2015,4,15,9.5,0
5/31/2015,7,14,10.5,0
6/1/2015,6,15,10.5,11.5
6/2/2015,7,14,10.5,6
6/3/2015,8,16,12,0
6/4/2015,7,16,11.5,0
6/5/2015,7,13,10,0
6/6/2015,6,15,10.5,0
6/7/2015,8,15,11.5,7
6/8/2015,6,16,11,13
6/9/2015,7,17,12,0
6/10/2015,8,17,12.5,9.5
