DateTime,Year,Month,Tmax,Tmin,Tmean,Rainfall
31-01-15,2015,1,17.00,-5.00,4.71,49.00
28-02-15,2015,2,18.00,-2.00,6.54,93.00
31-03-15,2015,3,18.00,-4.00,6.62,45.00
30-04-15,2015,4,18.00,0.00,7.75,68.30
31-05-15,2015,5,18.00,-4.00,8.76,61.50
30-06-15,2015,6,18.00,-3.00,10.36,55.00
31-07-15,2015,7,19.00,-4.00,11.16,132.50
31-08-15,2015,8,19.00,-4.00,10.45,142.00
30-09-15,2015,9,18.00,-6.00,9.50,74.00
31-10-15,2015,10,18.00,-3.00,8.40,67.50
30-11-15,2015,11,18.00,-6.00,7.85,97.00
31-12-15,2015,12,19.00,-5.00,3.90,54.00
31-01-16,2016,1,19.00,-2.00,6.68,5.20
29-02-16,2016,2,17.00,-4.00,5.43,6.30
31-03-16,2016,3,18.00,-2.00,6.13,138.30
30-04-16,2016,4,17.00,-3.00,7.53,53.10
31-05-16,2016,5,17.00,-2.00,9.63,35.60
30-06-16,2016,6,19.00,-4.00,11.64,37.30
31-07-16,2016,7,17.00,-5.00,2.42,10.00
31-08-16,2016,8,19.00,-6.00,10.40,33.40
30-09-16,2016,9,18.00,-2.00,9.57,31.90
31-10-16,2016,10,19.00,-3.00,2.43,28.20
30-11-16,2016,11,19.00,0.00,7.66,9.10
31-12-16,2016,12,17.00,1.00,2.53,3.80
31-01-17,2017,1,19.00,-9.00,3.18,14.30
28-02-17,2017,2,18.00,-8.00,6.89,17.30
31-03-17,2017,3,18.00,-6.00,6.63,24.30
30-04-17,2017,4,19.00,-6.00,7.18,26.00
31-05-17,2017,5,21.00,-5.00,8.00,58.20
30-06-17,2017,6,21.00,-5.00,8.57,58.60
31-07-17,2017,7,18.00,-5.00,8.65,22.80
31-08-17,2017,8,20.00,-7.00,2.02,6.80
30-09-17,2017,9,21.00,-9.00,2.08,8.40
31-10-17,2017,10,21.00,-7.00,2.00,7.10
30-11-17,2017,11,21.00,-8.00,2.03,18.80
31-12-17,2017,12,22.00,-10.00,5.50,13.10
31-01-18,2018,1,19.00,-8.00,6.53,106.00
28-02-18,2018,2,21.00,-7.00,5.50,108.00
31-03-18,2018,3,21.00,-7.00,7.44,88.00
30-04-18,2018,4,21.00,-7.00,8.87,134.50
31-05-18,2018,5,21.00,-8.00,8.85,164.50
30-06-18,2018,6,20.00,-7.00,2.65,46.50
31-07-18,2018,7,22.00,-7.00,12.16,525.30
31-08-18,2018,8,21.00,-6.00,11.50,187.50
30-09-18,2018,9,18.00,-7.00,2.62,0.00
31-10-18,2018,10,21.00,-9.00,8.15,170.50
30-11-18,2018,11,19.00,-7.00,4.32,149.00
31-12-18,2018,12,21.00,-6.00,2.56,108.00
31-01-19,2019,1,22.00,-8.00,5.39,26.70
28-02-19,2019,2,21.00,-7.00,5.82,7.00
31-03-19,2019,3,22.00,-7.00,8.27,153.30
30-04-19,2019,4,20.00,-8.00,10.43,133.60
31-05-19,2019,5,22.00,-6.00,10.95,107.90
30-06-19,2019,6,22.00,-7.00,11.65,126.50
31-07-19,2019,7,21.00,-6.00,13.11,360.10
31-08-19,2019,8,23.00,-6.00,12.48,191.10
30-09-19,2019,9,19.00,-6.00,11.73,284.00
31-10-19,2019,10,19.00,-6.00,9.05,80.00
30-11-19,2019,11,19.00,-7.00,7.97,31.30
31-12-19,2019,12,19.00,-7.00,3.48,27.20
31-01-20,2020,1,19.00,-4.00,2.19,0.00
29-02-20,2020,2,20.00,-5.00,6.56,52.70
31-03-20,2020,3,18.00,-5.00,8.13,207.80
30-04-20,2020,4,19.00,-4.00,8.17,170.60
31-05-20,2020,5,20.00,-3.00,2.24,0.00
30-06-20,2020,6,19.00,-2.00,10.50,164.20
31-07-20,2020,7,21.00,-5.00,12.63,335.90
31-08-20,2020,8,21.00,-4.00,12.76,214.90
30-09-20,2020,9,21.00,-4.00,8.69,52.30
31-10-20,2020,10,20.00,-5.00,8.00,27.00
30-11-20,2020,11,20.00,-6.00,7.81,29.50
31-12-20,2020,12,20.00,-5.00,7.88,42.00
