Date,tmin,tmax,tmean,Rainfall
1/1/2015,5,24,14.5,0
1/2/2015,4.5,25,14.75,0
1/3/2015,6.5,12.5,9.5,12.5
1/4/2015,6.5,19.5,13,2
1/5/2015,7.5,21.5,14.5,0
1/6/2015,8.5,18.5,13.5,0
1/7/2015,7.5,22.5,15,0
1/8/2015,6.5,22,14.25,0.5
1/9/2015,3.5,21.5,12.5,0
1/10/2015,2,26,14,0
1/11/2015,3.5,21.5,12.5,0
1/12/2015,3.5,22.5,13,0
1/13/2015,3,22.5,12.75,0
1/14/2015,1.5,21.5,11.5,0
1/15/2015,2.5,21.5,12,0
1/16/2015,2.5,22,12.25,0
1/17/2015,3,21.5,12.25,0
1/18/2015,2.5,22.5,12.5,0
1/19/2015,2.5,21.5,12,0
1/20/2015,2.5,22.5,12.5,0
1/21/2015,2.5,23.5,13,0
1/22/2015,2.5,22.5,12.5,0
1/23/2015,2.5,21.5,12,0
1/24/2015,3,22,12.5,0
1/25/2015,9,22.5,15.75,0
1/26/2015,9.5,23,16.25,0
1/27/2015,6.5,21.5,14,0
1/28/2015,8.5,24.5,16.5,0
1/29/2015,5.5,21,13.25,0
1/30/2015,3.5,21.5,12.5,0
1/31/2015,2.5,20.5,11.5,0
2/1/2015,2,21,11.5,0
2/2/2015,3.5,25.5,14.5,0
2/3/2015,3.5,26,14.75,0
2/4/2015,6.5,25,15.75,0
2/5/2015,9.5,23.5,16.5,0
2/6/2015,3.5,20.5,12,0
2/7/2015,9.5,24,16.75,0
2/8/2015,7,25,16,0
2/9/2015,13.5,21.5,17.5,0
2/10/2015,10,23.5,16.75,0
2/11/2015,10,22,16,0
2/12/2015,12.5,22.5,17.5,0
2/13/2015,6.5,21.5,14,0
2/14/2015,5.5,25.5,15.5,0
2/15/2015,8,22.5,15.25,0
2/16/2015,6.5,23.5,15,0
2/17/2015,6.5,23.5,15,0
2/18/2015,6.5,22,14.25,0
2/19/2015,6.5,21.5,14,5.2
2/20/2015,6.5,23,14.75,0
2/21/2015,10,22.5,16.25,0
2/22/2015,6.5,26,16.25,0
2/23/2015,7.5,27.5,17.5,0
2/24/2015,12.5,28,20.25,0
2/25/2015,13.5,24.5,19,0
2/26/2015,13.5,28.5,21,0.5
2/27/2015,10,28.5,19.25,0
2/28/2015,10.5,28.5,19.5,0
3/1/2015,12.5,26.5,19.5,0
3/2/2015,13.5,25.5,19.5,0
3/3/2015,10,27.5,18.75,0
3/4/2015,10,25.5,17.75,0
3/5/2015,6.5,26,16.25,0
3/6/2015,9.5,22.5,16,0
3/7/2015,10.5,21.5,16,0
3/8/2015,9.5,26.5,18,0
3/9/2015,9.5,28.5,19,0
3/10/2015,10,27.5,18.75,0
3/11/2015,13.5,28.5,21,0
3/12/2015,13.5,29.5,21.5,0
3/13/2015,11,28.5,19.75,0
3/14/2015,13,27.5,20.25,0
3/15/2015,15,29.5,22.25,0
3/16/2015,13.5,28.5,21,0
3/17/2015,13.5,28.5,21,0
3/18/2015,10.5,28,19.25,0.4
3/19/2015,10,25,17.5,0
3/20/2015,10,28.5,19.25,0
3/21/2015,10.5,30,20.25,0
3/22/2015,13,31.5,22.25,0
3/23/2015,13.5,31,22.25,8.6
3/24/2015,11,30.5,20.75,0
3/25/2015,10.5,32.5,21.5,0
3/26/2015,10.5,31.5,21,8.1
3/27/2015,10,28.5,19.25,0
3/28/2015,14,30.5,22.25,0
3/29/2015,15,31,23,0
3/30/2015,15,29.5,22.25,19
3/31/2015,13.5,26,19.75,0
4/1/2015,13.5,27.5,20.5,11.6
4/2/2015,13,22,17.5,0.8
4/3/2015,13.5,29.5,21.5,6.1
4/4/2015,13.5,28.5,21,2.2
4/5/2015,13.5,27.5,20.5,0.4
4/6/2015,13,28.5,20.75,1.2
4/7/2015,13.5,28,20.75,1.2
4/8/2015,14,25.5,19.75,0.6
4/9/2015,13.5,28,20.75,6.3
4/10/2015,14.5,27.5,21,7.4
4/11/2015,13.5,22.5,18,7
4/12/2015,13.5,31,22.25,6.2
4/13/2015,13.5,22.5,18,0.6
4/14/2015,13.5,31.5,22.5,0
4/15/2015,13.5,31.5,22.5,0
4/16/2015,13.5,30,21.75,1.8
4/17/2015,13.5,28.5,21,1.6
4/18/2015,13.5,23,18.25,0.9
4/19/2015,13,29.5,21.25,0
4/20/2015,14,31,22.5,0.2
4/21/2015,16.5,30.5,23.5,4.7
4/22/2015,14,25.5,19.75,3.1
4/23/2015,9.5,25.5,17.5,8.3
4/24/2015,9.5,23.5,16.5,8.2
4/25/2015,13.5,22.5,18,2.3
4/26/2015,13.5,27,20.25,2.1
4/27/2015,13.5,28,20.75,4.2
4/28/2015,14.5,26.5,20.5,17.2
4/29/2015,14.5,20.5,17.5,1.2
4/30/2015,13.5,28,20.75,1.3
5/1/2015,15.5,30.5,23,3.2
5/2/2015,16.5,27.5,22,0
5/3/2015,16.5,30.5,23.5,0.1
5/4/2015,16.5,30.5,23.5,0
5/5/2015,15,31.5,23.25,18.2
5/6/2015,14.5,30.5,22.5,15.8
5/7/2015,13.5,30.5,22,3.8
5/8/2015,13,29.5,21.25,0.4
5/9/2015,15,31.5,23.25,0
5/10/2015,16.5,31.5,24,0.8
5/11/2015,16.5,23.5,20,1.2
5/12/2015,15,31,23,9.6
5/13/2015,16.5,30,23.25,5.2
5/14/2015,17.5,30.5,24,0.2
5/15/2015,19.5,26.5,23,1.4
5/16/2015,19.5,28.5,24,8.4
5/17/2015,16.5,29.5,23,14.1
5/18/2015,16.5,31.5,24,0.2
5/19/2015,17.5,31,24.25,0
5/20/2015,17.5,31,24.25,0
5/21/2015,19,28.5,23.75,1
5/22/2015,17.5,29.5,23.5,1.5
5/23/2015,17.5,28.5,23,1
5/24/2015,12.5,25.5,19,0
5/25/2015,17.5,29,23.25,20
5/26/2015,17.5,31,24.25,3.2
5/27/2015,16.5,24.5,20.5,1.3
5/28/2015,17,26.5,21.75,0.2
5/29/2015,17.5,30.5,24,0.3
5/30/2015,19.5,31.5,25.5,0
5/31/2015,19.5,22.5,21,0
6/1/2015,18.5,30.5,24.5,2
6/2/2015,19.5,30.5,25,4.2
6/3/2015,20.5,32.5,26.5,0.1
6/4/2015,20.5,32,26.25,0.2
6/5/2015,20.5,30.5,25.5,0.3
6/6/2015,19.5,29.5,24.5,0
6/7/2015,20,32,26,0.2
6/8/2015,20.5,32,26.25,0
6/9/2015,19.5,32,25.75,0
6/10/2015,20.5,30.5,25.5,16
6/11/2015,19,30,24.5,8.2
6/12/2015,19.5,30,24.75,10.3
6/13/2015,18.5,25.5,22,2.4
6/14/2015,18.5,26,22.25,0
6/15/2015,19,26.5,22.75,0
6/16/2015,18.5,27,22.75,0
6/17/2015,20,32,26,2
6/18/2015,20,31,25.5,0
6/19/2015,18.5,31,24.75,0.4
6/20/2015,19.5,31,25.25,0
6/21/2015,19,28.5,23.75,0.2
6/22/2015,20,33,26.5,19
6/23/2015,20,24,22,9.3
6/24/2015,20.5,25,22.75,8
6/25/2015,20,29,24.5,0
6/26/2015,20.5,31,25.75,3.2
6/27/2015,21,28,24.5,11.2
6/28/2015,20,28,24,2.3
6/29/2015,19,29,24,3.2
6/30/2015,20,29,24.5,0
7/1/2015,19,27,23,3.2
7/2/2015,19,28,23.5,3.5
7/3/2015,20,30,25,0
7/4/2015,20,29,24.5,11.2
7/5/2015,21,31,26,1.2
7/6/2015,20,31,25.5,8
7/7/2015,19.5,32,25.75,0.2
7/8/2015,20,31,25.5,19
7/9/2015,20,33,26.5,16.2
7/10/2015,19.5,29,24.25,0
7/11/2015,19.5,32,25.75,2.4
7/12/2015,20,32,26,0.2
7/13/2015,20.5,32,26.25,0.3
7/14/2015,20,29,24.5,17.2
7/15/2015,21,26,23.5,2.3
7/16/2015,20,32,26,0
7/17/2015,20,33,26.5,5.2
7/18/2015,17.5,32,24.75,0.2
7/19/2015,18,30,24,3
7/20/2015,19,29,24,0
7/21/2015,19,28,23.5,8
7/22/2015,20,30,25,3.2
7/23/2015,20,31,25.5,2.3
7/24/2015,20,30,25,0.2
7/25/2015,20,31,25.5,0
7/26/2015,19,32,25.5,2.3
7/27/2015,16,32,24,3.2
7/28/2015,20,32,26,0
7/29/2015,19,32,25.5,4.2
7/30/2015,20,32,26,3.2
7/31/2015,20,29,24.5,0
8/1/2015,20,30,25,0
8/2/2015,20,30,25,0
8/3/2015,20,31,25.5,0
8/4/2015,19,32,25.5,2.3
8/5/2015,20,31,25.5,2.4
8/6/2015,20,30,25,0
8/7/2015,19,30,24.5,0
8/8/2015,19.5,30,24.75,10
8/9/2015,19.5,34.5,27,0
8/10/2015,19.5,35.5,27.5,0
8/11/2015,19.5,35.5,27.5,0.2
8/12/2015,21.5,33.5,27.5,11.2
8/13/2015,19.5,30.5,25,1.4
8/14/2015,20,32.5,26.25,0.8
8/15/2015,20,31.5,25.75,2
8/16/2015,20,29.5,24.75,0.5
8/17/2015,20,30.5,25.25,0
8/18/2015,20,31,25.5,4.2
8/19/2015,20,27.5,23.75,37.2
8/20/2015,19.5,22,20.75,23.2
8/21/2015,17.5,26,21.75,9.2
8/22/2015,17,28.5,22.75,19.6
8/23/2015,19.5,31.5,25.5,0.5
8/24/2015,20,33.5,26.75,5.8
8/25/2015,19.5,32.5,26,1.2
8/26/2015,20,31.5,25.75,7.4
8/27/2015,20,32.5,26.25,8.2
8/28/2015,19.5,29.5,24.5,6
8/29/2015,19.5,32.5,26,1
8/30/2015,19.5,25.5,22.5,3.5
8/31/2015,19.5,28.5,24,2
