Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,1.5,31.5,15.99,27.8
2015,2,3.5,31.5,18.31,19.5
2015,3,3.5,32.5,20.73,58.1
2015,4,6.5,32,20.34,79.5
2015,5,6.5,33.5,22.16,82.3
2015,6,3.5,33,22.48,93.2
2015,7,7.5,33,23.39,62.2
2015,8,6.5,33.5,23.22,164.2
2015,9,3.5,34.5,23.35,94.9
2015,10,2,35.5,20.66,34.4
2015,11,3.5,35.5,18.03,19
2015,12,1.5,34.5,15.56,39.7
2016,1,3,34.5,15.61,32.7
2016,2,6.5,33.5,18.76,21.9
2016,3,5.5,34.5,20.12,68.1
2016,4,6.5,35.5,21.38,113.2
2016,5,4.5,34,22.36,92.4
2016,6,6.5,37.5,23.83,78.7
2016,7,6.5,35,23.7,140.6
2016,8,6,37,24.85,68.3
2016,9,6.5,34.5,23.18,101.7
2016,10,6.5,35,20.79,9.9
2016,11,6.5,36.5,19.13,42.3
2016,12,3,36.5,17.1,56.4
2017,1,2.5,34,16.41,34.7
2017,2,4.5,32.5,18.08,31.4
2017,3,6,35.5,19.09,51.4
2017,4,3.5,35,21.34,58.9
2017,5,3.5,33,22.87,206.9
2017,6,6,36.5,23.88,97.6
2017,7,3.5,36.5,24.58,125.1
2017,8,3,35,24.05,75.1
2017,9,4.5,35,23.67,117.8
2017,10,4,32.5,20.94,77.7
2017,11,3.5,35,18.47,36.1
2017,12,3,33.5,17.63,29.7
2018,1,3.5,34.5,16.52,26.2
2018,2,5.5,34.5,18.17,16.5
2018,3,6,34.5,19.77,68.4
2018,4,6.5,35,21.16,74.7
2018,5,5.5,37.5,22.87,52.3
2018,6,5,36.5,22.82,83.5
2018,7,5,40,25.58,47.6
2018,8,2.5,37,24.53,49.4
2018,9,2.5,35,23.38,65.7
2018,10,4.5,38.5,20.45,27.4
2018,11,3.5,36.5,18.03,14
2018,12,0.5,35,15.7,60.7
2019,1,2.5,35,15.69,8.3
2019,2,1.5,34,17.81,22.8
2019,3,3,34.5,19.37,50
2019,4,4.5,34.5,21.07,149.3
2019,5,3,34,22.47,123.5
2019,6,2.5,38.5,24.91,52.7
2019,7,3,34.5,23.4,148
2019,8,2.5,34.5,23.98,74.8
2019,9,3,34.5,21.97,121
2019,10,3.5,34.5,20.34,23.6
2019,11,6.5,35,19.21,14.9
2019,12,3,36.5,16.17,12.9
2020,1,2,32.5,15.54,38.8
2020,2,4,36,17.47,57.6
2020,3,6.5,37,18.81,66.8
2020,4,3,36.5,19.84,96.3
2020,5,3.5,34.5,21.31,182.9
2020,6,1.5,36.5,23.3,80.4
2020,7,3,34.5,22.93,60.3
2020,8,3,34.5,24.35,111.5
2020,9,3,34.5,22.74,49.4
2020,10,3,34,21.4,14.2
2020,11,6.5,33.5,17.64,8.2
2020,12,3,32,16.71,10.4
