Date,Tmin,Tmax,Tmean,Rainfall
1/1/2015,11.27,23.09,16.45,0
1/2/2015,6.64,19.2,12.4,0
1/3/2015,15.22,24.17,19.35,1.8
1/4/2015,13.76,23.69,17.75,7.2
1/5/2015,16.92,26.35,19.95,0
1/6/2015,20.32,26.65,22.61,0
1/7/2015,20.01,29.19,23.45,1.6
1/8/2015,20.96,26.5,22.76,5.4
1/9/2015,19.96,26.11,21.99,0.6
1/10/2015,20.22,29.19,24.18,0
1/11/2015,15.41,25.19,19.52,0
1/12/2015,13.98,22.32,17.22,0
1/13/2015,9.48,20.65,13.96,0
1/14/2015,9.53,21.13,14.27,0
1/15/2015,9.68,21.63,14.37,0
1/16/2015,9.93,21.7,14.71,0
1/17/2015,9.98,21.25,14.32,0
1/18/2015,10.17,20.17,13.81,0
1/19/2015,10.25,19.15,13.77,0
1/20/2015,9.24,20.08,13.66,0
1/21/2015,10.42,20.56,14.58,0
1/22/2015,9.8,20.53,14.48,0
1/23/2015,10.69,20.91,14.59,0
1/24/2015,10.15,19.44,14.05,0
1/25/2015,9.78,18.98,14.13,0
1/26/2015,10.91,20.01,14.54,0
1/27/2015,11.05,20.46,14.6,0
1/28/2015,9.8,18.84,13.52,0
1/29/2015,8.72,16.87,11.97,0
1/30/2015,8.12,15.82,11.04,0
1/31/2015,8.44,15.84,11.14,0
2/1/2015,12.68,22.32,16.85,0
2/2/2015,9.48,21.34,14.66,0
2/3/2015,13.74,19.89,15.65,0
2/4/2015,15.08,18.68,16.65,0
2/5/2015,16.99,26.18,21.16,0
2/6/2015,18.75,28.54,23.58,0
2/7/2015,21.63,28.32,23.44,0
2/8/2015,21.1,27.06,23.08,0
2/9/2015,20.53,26.11,22.16,0
2/10/2015,20.7,29.04,23.37,0
2/11/2015,15.41,24.75,19.26,0
2/12/2015,13.79,21.84,16.74,0
2/13/2015,9.73,19.37,13.42,7.6
2/14/2015,10.96,16.99,13.21,0
2/15/2015,11.47,17.39,13.3,0.2
2/16/2015,10.15,21.46,15.15,0
2/17/2015,12.73,22.23,16.29,0
2/18/2015,12.58,21.84,15.3,0
2/19/2015,11.71,20.17,14.64,2.6
2/20/2015,10.1,19.56,14.96,0
2/21/2015,12.29,21.34,15.6,0
2/22/2015,12.07,23.04,16.77,0
2/23/2015,13.59,23.62,18.15,0
2/24/2015,16.46,23.71,18.95,0
2/25/2015,16.58,24.9,19.16,0.2
2/26/2015,15.03,22.25,17.96,0
2/27/2015,14.51,24.32,18.6,2
