Year,Month,Tmin,Tmax,Tmean,Rainfall
2015,1,3.06,27.58,12.77,24.22
2015,2,4.58,28,14.78,63.14
2015,3,6.13,26.99,17.13,143.92
2015,4,6.23,27.88,17.11,221.33
2015,5,6.31,28.1,18.96,124.76
2015,6,6.54,28.79,19.81,199.35
2015,7,6.36,29.87,19.6,97.12
2015,8,6.51,28.57,19.73,624.28
2015,9,5.02,30.19,19.44,246.49
2015,10,6.38,28.84,17.09,58.98
2015,11,3.7,28.94,15.39,9.07
2015,12,2.45,28,12.15,23.64
2016,1,3.3,28.84,12.03,61.34
2016,2,6.31,28.47,15.27,79.82
2016,3,5.72,30.04,16.93,148.72
2016,4,5.54,28.99,18.19,148.24
2016,5,5.21,28.07,18.51,171.25
2016,6,5.82,30.37,19.94,302.4
2016,7,7.12,29.04,19.65,777.6
2016,8,5.82,30.6,20.96,52.66
2016,9,5.67,28.59,19.58,71.7
2016,10,3.64,28.57,17.66,67.21
2016,11,4.51,29.37,15.52,34.22
2016,12,4.66,28.87,14.12,45.6
2017,1,2.42,27.55,11.72,73.6
2017,2,6.69,26.65,14.11,161.2
2017,3,5,29.24,15.4,82.6
2017,4,6,28.97,18.38,147
2017,5,5,30.14,20.29,61
2017,6,5,29.19,20.59,236.4
2017,7,5,32.98,21.51,31.4
2017,8,4,31.03,21.12,170
2017,9,6,30.29,20.35,300.4
2017,10,5,28.97,17.89,237.5
2017,11,4,30.22,15.13,133.8
2017,12,4,28.59,14.08,59.3
2018,1,2.69,29,13.22,55.8
2018,2,5,27.48,14.63,76
2018,3,5.54,27.53,16.17,141.8
2018,4,5.41,28.87,17.26,72
2018,5,5.08,29.32,18.71,144.2
2018,6,4.19,29.92,19.58,180.6
2018,7,2.34,32.33,20.3,131
2018,8,1.43,31,20.61,63.9
2018,9,3.25,29.34,18.86,237.2
2018,10,4,30.09,17.14,19.7
2018,11,4,28.59,14.83,42
2018,12,1,28,12.74,97.3
2019,1,1,28,12.84,86.9
2019,2,1,29,13.85,115.8
2019,3,2,29,16.67,78.8
2019,4,2,27,17.91,81.6
2019,5,2,26,17.82,248
2019,6,2,29,19.64,419.6
2019,7,3,29,19.47,474.8
2019,8,3,26,16.59,11.8
2019,9,3,26,18.67,157.3
2019,10,3,27,17.22,146.6
2019,11,4,27,15.5,162.2
2019,12,2,26,12.53,110.1
2020,1,2,27,12.63,65.7
2020,2,3,29,14.76,133.2
2020,3,4,27,16.56,59.9
2020,4,4,29,17.3,160.5
2020,5,4,29,18.41,457.2
2020,6,1,30,20.82,740.1
2020,7,4,28,19.34,567.6
2020,8,4,27,20.04,138.82
2020,9,4,30,19.3,285.74
2020,10,4,27,18.41,85.63
2020,11,4,28,15.7,91.74
2020,12,4,28,13.9,110.4
