station_name,elevation,longitude,latitude,wmo_station_type
Airong,1305,91.5125,26.90417,C
Autsho,800,91.17083,27.4375,C
Betikha,2660,89.41639,27.25,C
Bhur,375,90.43389,26.90389,A
Bjizam,1840,90.4625,27.52083,C
Buli,1780,90.82083,27.17083,C
Chamkhar,2470,90.7625,27.5375,A
Chapcha,2450,89.55,27.2,C
Chendebji,2660,90.27917,27.5125,C
Chukha,1600,89.56639,27.06639,C
Dagana Dzong,1460,89.87472,27.07111,A
Daifam/Jomotshangkha,280,92.10806,26.89028,C
Damphu,1520,90.12167,27,A
Dechenling,1000,91.23306,26.91639,C
Deothang,300,91.4875,26.8375,A
Doksum,950,91.57722,27.43472,C
Drujeygang,1140,90.0375,26.9625,C
Drukgyel Dzong,2547,89.33306,27.5,C
Dungkhar,2010,91.11611,27.82306,C
Dungmain,1265,91.34583,26.97917,C
Gasakhatey,2760,89.71639,27.9,A
Gaselo,1960,89.87917,27.42917,C
Gedu,1980,89.52583,26.90639,C
Gidakom,2210,89.57528,27.38472,C
Gyetsa,2630,90.75417,27.50417,C
"Haa, Namjayling",2720,89.28194,27.38806,A
Kamichu,710,90.02639,27.27083,C
Kanglung,1930,91.52222,27.2825,A
Karabari,170,89.92,26.76444,C
Khaling,2070,91.59222,27.20556,C
Khomachu/Sumpa,1380,90.95417,27.1375,C
Langthel,1150,90.5625,27.3625,C
Lingmethang,700,91.16639,27.26361,C
Mongar,1600,91.23833,27.27833,A
Nanglam,550,91.24583,26.8375,C
Nobding,2600,90.15278,27.54778,C
Panbang,220,90.96639,26.85,C
Paro DSC,2406,89.42,27.38306,A
Pelela,3480,90.20306,27.53417,C
Pemagatshel,1618,91.42917,27.02917,A
Phobjikha,2860,90.17917,27.45417,C
Phuentsholing,220,89.38889,26.85972,A
Punakha,1236,89.86639,27.58167,A
Radhi,1540,91.69389,27.36111,C
Samtse NIE,430,89.1,26.9,C
Sarpang,330,90.26889,26.85917,C
Shelgana,1680,89.85417,27.57083,C
Sherichu,705,91.41306,27.255,C
Simtokha,2310,89.67083,27.4375,A
Sipsu,550,88.85417,27.02083,A
Sunkosh,410,90.07111,27.01667,C
Surey,1060,90.52917,27.02083,C
Tangmachu,1750,91.19667,27.595,C
Tashiyangtse,1830,91.49583,27.59583,A
Tendu,1000,88.85417,27.12917,C
Thrimshing,1350,91.62083,27.12917,C
Trongsa,2120,90.505,27.50194,A
Tshenkharla,1940,91.57083,27.47083,C
Ura,3090,90.90694,27.47389,C
Wamrong,2180,91.57083,27.1375,C
Wangdue RNRRC,1180,89.89583,27.49583,A
Yabilaptsa,850,90.70278,27.125,C
Yadi,1580,91.368,27.29,C
Yallang/Thragom,2100,91.64583,27.44583,C
Yotongla,3530,90.59583,27.5625,C
Yurung,1435,91.34306,27.01944,C
Zhemgang,1905,90.6625,27.2125,A
